Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP
#314,Illumise,['bug'],"['Oblivious', 'Tinted Lens', 'Prankster']",65,47,75,73,85,85
#315,Roselia,"['grass', 'poison']","['Natural Cure', 'Poison Point', 'Leaf Guard']",50,60,45,100,80,65
#316,Gulpin,['poison'],"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",70,43,53,43,53,40
#317,Swalot,['poison'],"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",100,73,83,73,83,55
#318,Carvanha,"['water', 'dark']","['Rough Skin', 'Speed Boost']",45,90,20,65,20,65
#319,Sharpedo,"['water', 'dark']","['Rough Skin', 'Speed Boost']",70,120,40,95,40,95
#320,Wailmer,['water'],"['Water Veil', 'Oblivious', 'Pressure']",130,70,35,70,35,60
#321,Wailord,['water'],"['Water Veil', 'Oblivious', 'Pressure']",170,90,45,90,45,60
#322,Numel,"['fire', 'ground']","['Oblivious', 'Simple', 'Own Tempo']",60,60,40,65,45,35
#323,Camerupt,"['fire', 'ground']","['Magma Armor', 'Solid Rock', 'Anger Point']",70,100,70,105,75,40
#324,Torkoal,['fire'],"['White Smoke', 'Drought', 'Shell Armor']",70,85,140,85,70,20
#325,Spoink,['psychic'],"['Thick Fat', 'Own Tempo', 'Gluttony']",60,25,35,70,80,60
#326,Grumpig,['psychic'],"['Thick Fat', 'Own Tempo', 'Gluttony']",80,45,65,90,110,80
#327,Spinda,['normal'],"['Own Tempo', 'Tangled Feet', 'Contrary']",60,60,60,60,60,60
#328,Trapinch,['ground'],"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",45,100,45,45,45,10
#329,Vibrava,"['ground', 'dragon']",['Levitate'],50,70,50,50,50,70
#330,Flygon,"['ground', 'dragon']",['Levitate'],80,100,80,80,80,100
#331,Cacnea,['grass'],"['Sand Veil', 'Water Absorb']",50,85,40,85,40,35
#332,Cacturne,"['grass', 'dark']","['Sand Veil', 'Water Absorb']",70,115,60,115,60,55
#333,Swablu,"['normal', 'flying']","['Natural Cure', 'Cloud Nine']",45,40,60,40,75,50
#334,Altaria,"['dragon', 'flying']","['Natural Cure', 'Cloud Nine']",75,70,90,70,105,80
#335,Zangoose,['normal'],"['Immunity', 'Toxic Boost']",73,115,60,60,60,90
#336,Seviper,['poison'],"['Shed Skin', 'Infiltrator']",73,100,60,100,60,65
#337,Lunatone,"['rock', 'psychic']",['Levitate'],90,55,65,95,85,70
#338,Solrock,"['rock', 'psychic']",['Levitate'],90,95,85,55,65,70
#339,Barboach,"['water', 'ground']","['Oblivious', 'Anticipation', 'Hydration']",50,48,43,46,41,60
#340,Whiscash,"['water', 'ground']","['Oblivious', 'Anticipation', 'Hydration']",110,78,73,76,71,60
#341,Corphish,['water'],"['Hyper Cutter', 'Shell Armor', 'Adaptability']",43,80,65,50,35,35
#342,Crawdaunt,"['water', 'dark']","['Hyper Cutter', 'Shell Armor', 'Adaptability']",63,120,85,90,55,55
#343,Baltoy,"['ground', 'psychic']",['Levitate'],40,40,55,40,70,55
#344,Claydol,"['ground', 'psychic']",['Levitate'],60,70,105,70,120,75
#345,Lileep,"['rock', 'grass']","['Suction Cups', 'Storm Drain']",66,41,77,61,87,23
#346,Cradily,"['rock', 'grass']","['Suction Cups', 'Storm Drain']",86,81,97,81,107,43
#347,Anorith,"['rock', 'bug']","['Battle Armor', 'Swift Swim']",45,95,50,40,50,75
#348,Armaldo,"['rock', 'bug']","['Battle Armor', 'Swift Swim']",75,125,100,70,80,45
#349,Feebas,['water'],"['Swift Swim', 'Oblivious', 'Adaptability']",20,15,20,10,55,80
#350,Milotic,['water'],"['Marvel Scale', 'Competitive', 'Cute Charm']",95,60,79,100,125,81
#351,Castform,['normal'],['Forecast'],70,70,70,70,70,70
#352,Kecleon,['normal'],"['Color Change', 'Protean']",60,90,70,60,120,40
#353,Shuppet,['ghost'],"['Insomnia', 'Frisk', 'Cursed Body']",44,75,35,63,33,45
#354,Banette,['ghost'],"['Insomnia', 'Frisk', 'Cursed Body']",64,115,65,83,63,65
#355,Duskull,['ghost'],"['Levitate', 'Frisk']",20,40,90,30,90,25
#356,Dusclops,['ghost'],"['Pressure', 'Frisk']",40,70,130,60,130,25
#357,Tropius,"['grass', 'flying']","['Chlorophyll', 'Solar Power', 'Harvest']",99,68,83,72,87,51
#358,Chimecho,['psychic'],['Levitate'],75,50,80,95,90,65
#359,Absol,['dark'],"['Pressure', 'Super Luck', 'Justified']",65,130,60,75,60,75
#360,Wynaut,['psychic'],"['Shadow Tag', 'Telepathy']",95,23,48,23,48,23
#361,Snorunt,['ice '],"['Inner Focus', 'Ice Body', 'Moody']",50,50,50,50,50,50
#362,Glalie,['ice '],"['Inner Focus', 'Ice Body', 'Moody']",80,80,80,80,80,80
#363,Spheal,"['ice ', 'water']","['Thick Fat', 'Ice Body', 'Oblivious']",70,40,50,55,50,25
#364,Sealeo,"['ice ', 'water']","['Thick Fat', 'Ice Body', 'Oblivious']",90,60,70,75,70,45
#365,Walrein,"['ice ', 'water']","['Thick Fat', 'Ice Body', 'Oblivious']",110,80,90,95,90,65
#366,Clamperl,['water'],"['Shell Armor', 'Rattled']",35,64,85,74,55,32
#367,Huntail,['water'],"['Swift Swim', 'Water Veil']",55,104,105,94,75,52
#368,Gorebyss,['water'],"['Swift Swim', 'Hydration']",55,84,105,114,75,52
#369,Relicanth,"['water', 'rock']","['Swift Swim', 'Rock Head', 'Sturdy']",100,90,130,45,65,55
#370,Luvdisc,['water'],"['Swift Swim', 'Hydration']",43,30,55,40,65,97
#371,Bagon,['dragon'],"['Rock Head', 'Sheer Force']",45,75,60,40,30,50
#372,Shelgon,['dragon'],"['Rock Head', 'Overcoat']",65,95,100,60,50,50
#373,Salamence,"['dragon', 'flying']","['Intimidate', 'Moxie']",95,135,80,110,80,100
#374,Beldum,"['steel', 'psychic']","['Clear Body', 'Light Metal']",40,55,80,35,60,30
#375,Metang,"['steel', 'psychic']","['Clear Body', 'Light Metal']",60,75,100,55,80,50
#376,Metagross,"['steel', 'psychic']","['Clear Body', 'Light Metal']",80,135,130,95,90,70
#377,Regirock,['rock'],"['Clear Body', 'Sturdy']",80,100,200,50,100,50
#378,Regice,['ice '],"['Clear Body', 'Ice Body']",80,50,100,100,200,50
#379,Registeel,['steel'],"['Clear Body', 'Light Metal']",80,75,150,75,150,50
#380,Latias,"['dragon', 'psychic']",['Levitate'],80,80,90,110,130,110
#381,Latios,"['dragon', 'psychic']",['Levitate'],80,90,80,130,110,110
#382,Kyogre,['water'],['Drizzle'],100,100,90,150,140,90
#383,Groudon,['ground'],['Drought'],100,150,140,100,90,90
#384,Rayquaza,"['dragon', 'flying']",['Air Lock'],105,150,90,150,90,95
#385,Jirachi,"['steel', 'psychic']",['Serene Grace'],100,100,100,100,100,100
#386,Deoxys,['psychic'],['Pressure'],50,150,50,150,50,150
