Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg,moves
#0820,Greedent,['normal'],"['Cheek Pouch', 'Gluttony']",120,95,95,55,75,20,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],460,76,"['Bite', 'Stuff Cheeks', 'Tackle', 'Tail Whip', 'Spit Up', 'Stockpile', 'Swallow', 'Body Slam', 'Rest', 'Counter', 'Bullet Seed', 'Super Fang', 'Belch', 'Covet', 'Belly Drum', 'Defense Curl', 'Last Resort', 'Rollout', 'Take Down', 'Mud-Slap', 'Protect', 'Fire Fang', 'Thunder Fang', 'Ice Fang', 'Thief', 'Trailblaze', 'Facade', 'Bulldoze', 'Mud Shot', 'Fling', 'Endure', 'Sunny Day', 'Rain Dance', 'Dig', 'Psychic Fangs', 'Sleep Talk', 'Seed Bomb', 'Stomping Tantrum', 'Swords Dance', 'Body Press', 'Substitute', 'Crunch', 'Hyper Voice', 'Amnesia', 'Wild Charge', 'Earthquake', 'Giga Impact', 'Hyper Beam', 'Tera Blast', 'Gyro Ball', 'Knock Off', 'High Horsepower', 'Double-Edge', 'Endeavor', 'Curse', 'Snore', 'Attract', 'Payback', 'Assurance', 'Round', 'Tail Slap', 'Brutal Swing', 'Iron Tail', 'Uproar', 'Superpower']"
#0821,Rookidee,['flying'],"['Keen Eye', 'Unnerve', 'Big Pecks']",38,47,35,33,35,57,"['fighting', 'bug', 'grass']","['rock', 'steel', 'electric']","['fighting', 'ground', 'bug', 'grass']","['rock', 'electric', 'ice']",245,40,"['Leer', 'Peck', 'Power Trip', 'Hone Claws', 'Fury Attack', 'Pluck', 'Taunt', 'Scary Face', 'Drill Peck', 'Swagger', 'Brave Bird', 'Defog', 'Rock Smash', 'Roost', 'Sand Attack', 'Sky Attack', 'Spite', 'Tailwind', 'Take Down', 'Fake Tears', 'Agility', 'Protect', 'Thief', 'Facade', 'Aerial Ace', 'Swift', 'Air Cutter', 'Endure', 'U-turn', 'Air Slash', 'Sleep Talk', 'Rest', 'Fly', 'Substitute', 'Reversal', 'Nasty Plot', 'Tera Blast', 'Dual Wingbeat', 'Snore', 'Attract', 'Revenge', 'Payback', 'Assurance', 'Round', 'Retaliate', 'Focus Energy', 'Work Up']"
#0822,Corvisquire,['flying'],"['Keen Eye', 'Unnerve', 'Big Pecks']",68,67,55,43,55,77,"['fighting', 'bug', 'grass']","['rock', 'steel', 'electric']","['fighting', 'ground', 'bug', 'grass']","['rock', 'electric', 'ice']",365,60,"['Hone Claws', 'Leer', 'Peck', 'Power Trip', 'Fury Attack', 'Pluck', 'Taunt', 'Scary Face', 'Drill Peck', 'Swagger', 'Brave Bird', 'Defog', 'Rock Smash', 'Roost', 'Sand Attack', 'Sky Attack', 'Spite', 'Tailwind', 'Take Down', 'Fake Tears', 'Agility', 'Protect', 'Thief', 'Facade', 'Aerial Ace', 'Swift', 'Air Cutter', 'Endure', 'Sunny Day', 'U-turn', 'Air Slash', 'Sleep Talk', 'Rest', 'Fly', 'Substitute', 'Reversal', 'Nasty Plot', 'Hurricane', 'Tera Blast', 'Dual Wingbeat', 'Snore', 'Attract', 'Revenge', 'Payback', 'Assurance', 'Round', 'Retaliate', 'Focus Energy', 'Work Up']"
#0823,Corviknight,"['flying', 'steel']","['Pressure', 'Unnerve', 'Mirror Armor']",98,87,105,53,85,67,"['fighting', 'bug', 'grass', 'ice', 'fairy']","['steel', 'fire', 'water', 'electric']","['normal', 'flying', 'poison', 'ground', 'bug', 'steel', 'grass', 'psychic', 'dragon', 'fairy']","['fire', 'electric']",495,82,"['G-Max Wind Rage', 'Hone Claws', 'Iron Defense', 'Leer', 'Metal Sound', 'Peck', 'Power Trip', 'Screech', 'Fury Attack', 'Pluck', 'Taunt', 'Scary Face', 'Drill Peck', 'Swagger', 'Brave Bird', 'Steel Wing', 'Defog', 'Rock Smash', 'Roost', 'Sand Attack', 'Sky Attack', 'Spite', 'Tailwind', 'Take Down', 'Fake Tears', 'Agility', 'Protect', 'Thief', 'Facade', 'Aerial Ace', 'Metal Claw', 'Swift', 'Air Cutter', 'Endure', 'Sunny Day', 'Rain Dance', 'U-turn', 'Bulk Up', 'Air Slash', 'Body Slam', 'Sleep Talk', 'Reflect', 'Light Screen', 'Rest', 'Body Press', 'Flash Cannon', 'Fly', 'Iron Head', 'Substitute', 'Heavy Slam', 'Reversal', 'Nasty Plot', 'Giga Impact', 'Hurricane', 'Hyper Beam', 'Steel Beam', 'Tera Blast', 'Dual Wingbeat', 'Double-Edge', 'Curse', 'Snore', 'Attract', 'Revenge', 'Payback', 'Assurance', 'Round', 'Retaliate', 'Focus Energy', 'Work Up']"
#0824,Blipbug,['bug'],"['Swarm', 'Compoundeyes', 'Telepathy']",25,20,20,25,45,45,"['grass', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'ghost', 'steel', 'fire', 'fairy']","['fighting', 'ground', 'grass']","['flying', 'rock', 'fire']",180,30,"['Struggle Bug', 'Infestation', 'Recover', 'Sticky Web', 'Supersonic']"
#0825,Dottler,"['bug', 'psychic']","['Swarm', 'Compoundeyes', 'Telepathy']",50,35,80,50,90,30,['grass'],"['flying', 'ghost', 'steel', 'fire', 'fairy', 'dark']","['fighting', 'ground', 'grass', 'psychic']","['flying', 'rock', 'bug', 'ghost', 'fire', 'dark']",335,55,"['Confusion', 'Light Screen', 'Reflect', 'Struggle Bug', 'Infestation', 'Recover', 'Sticky Web', 'Supersonic', 'Expanding Force', 'Solar Beam', 'Safeguard', 'Rest', 'Snore', 'Protect', 'Attract', 'Facade', 'Helping Hand', 'Imprison', 'Payback', 'Power Swap', 'Guard Swap', 'Trick Room', 'Wonder Room', 'Magic Room', 'Round', 'Psychic Terrain', 'Psychic', 'Leech Life', 'Substitute', 'Psyshock', 'Endure', 'Sleep Talk', 'Shadow Ball', 'Future Sight', 'Trick', 'Skill Swap', 'Iron Defense', 'Calm Mind', 'Bug Buzz', 'Energy Ball', 'Zen Headbutt', 'Stored Power', 'Ally Switch', 'Body Press']"
#0826,Orbeetle,"['bug', 'psychic']","['Swarm', 'Frisk', 'Telepathy']",60,45,110,80,120,90,['grass'],"['flying', 'ghost', 'steel', 'fire', 'fairy', 'dark']","['fighting', 'ground', 'grass', 'psychic']","['flying', 'rock', 'bug', 'ghost', 'fire', 'dark']",505,84,"['G-Max Gravitas', 'Confusion', 'Light Screen', 'Reflect', 'Struggle Bug', 'Confuse Ray', 'Magic Coat', 'Agility', 'Psybeam', 'Hypnosis', 'Ally Switch', 'Bug Buzz', 'Mirror Coat', 'Psychic', 'After You', 'Calm Mind', 'Psychic Terrain', 'Infestation', 'Recover', 'Sticky Web', 'Supersonic', 'Expanding Force', 'Hyper Beam', 'Giga Impact', 'Solar Beam', 'Safeguard', 'Rest', 'Snore', 'Protect', 'Giga Drain', 'Attract', 'Facade', 'Helping Hand', 'Imprison', 'U-turn', 'Payback', 'Power Swap', 'Guard Swap', 'Psycho Cut', 'Trick Room', 'Wonder Room', 'Magic Room', 'Round', 'Leech Life', 'Substitute', 'Psyshock', 'Endure', 'Sleep Talk', 'Baton Pass', 'Shadow Ball', 'Future Sight', 'Trick', 'Skill Swap', 'Iron Defense', 'Energy Ball', 'Zen Headbutt', 'Stored Power', 'Body Press']"
#0827,Nickit,['dark'],"['Run Away', 'Unburden', 'Stakeout']",40,28,28,47,52,50,"['ghost', 'psychic']","['fighting', 'fairy', 'dark']","['ghost', 'psychic', 'dark']","['fighting', 'bug', 'fairy']",245,40,"['Quick Attack', 'Tail Whip', 'Beat Up', 'Hone Claws', 'Snarl', 'Assurance', 'Nasty Plot', 'Sucker Punch', 'Night Slash', 'Tail Slap', 'Foul Play', 'Howl', 'Knock Off', 'Quick Guard', 'Torment', 'Lash Out', 'Dig', 'Screech', 'Rest', 'Thief', 'Snore', 'Protect', 'Attract', 'Facade', 'Swift', 'Fake Tears', 'Mud Shot', 'Round', 'Agility', 'Substitute', 'Endure', 'Sleep Talk', 'Baton Pass', 'Taunt', 'Play Rough']"
#0828,Thievul,['dark'],"['Run Away', 'Unburden', 'Stakeout']",70,58,58,87,92,90,"['ghost', 'psychic']","['fighting', 'fairy', 'dark']","['ghost', 'psychic', 'dark']","['fighting', 'bug', 'fairy']",455,75,"['Beat Up', 'Hone Claws', 'Quick Attack', 'Tail Whip', 'Thief', 'Snarl', 'Assurance', 'Nasty Plot', 'Sucker Punch', 'Night Slash', 'Tail Slap', 'Foul Play', 'Parting Shot', 'Howl', 'Knock Off', 'Quick Guard', 'Torment', 'Burning Jealousy', 'Lash Out', 'Hyper Beam', 'Giga Impact', 'Dig', 'Screech', 'Rest', 'Snore', 'Protect', 'Attract', 'Facade', 'Swift', 'Fake Tears', 'Mud Shot', 'U-turn', 'Shadow Claw', 'Thunder Fang', 'Ice Fang', 'Fire Fang', 'Round', 'Acrobatics', 'Psychic', 'Agility', 'Substitute', 'Endure', 'Sleep Talk', 'Baton Pass', 'Crunch', 'Shadow Ball', 'Taunt', 'Dark Pulse', 'Grass Knot', 'Play Rough']"
#0829,Gossifleur,['grass'],"['Cotton Down', 'Regenerator', 'Effect Spore']",40,40,60,40,60,10,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",250,41,"['Leafage', 'Sing', 'Rapid Spin', 'Sweet Scent', 'Razor Leaf', 'Round', 'Leaf Tornado', 'Synthesis', 'Hyper Voice', 'Aromatherapy', 'Leaf Storm', 'Growth', 'Leech Seed', 'Poison Powder', 'Sleep Powder', 'Stun Spore', 'Worry Seed', 'Grassy Glide', 'Magical Leaf', 'Solar Beam', 'Light Screen', 'Rest', 'Snore', 'Protect', 'Giga Drain', 'Charm', 'Attract', 'Sunny Day', 'Facade', 'Helping Hand', 'Bullet Seed', 'Grassy Terrain', 'Substitute', 'Endure', 'Sleep Talk', 'Energy Ball', 'Grass Knot', 'Pollen Puff']"
#0830,Eldegoss,['grass'],"['Cotton Down', 'Regenerator', 'Effect Spore']",60,50,90,80,120,60,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",460,76,"['Cotton Spore', 'Leafage', 'Rapid Spin', 'Sing', 'Sweet Scent', 'Razor Leaf', 'Round', 'Leaf Tornado', 'Synthesis', 'Hyper Voice', 'Aromatherapy', 'Leaf Storm', 'Cotton Guard', 'Growth', 'Leech Seed', 'Poison Powder', 'Sleep Powder', 'Stun Spore', 'Worry Seed', 'Grassy Glide', 'Hyper Beam', 'Giga Impact', 'Magical Leaf', 'Solar Beam', 'Light Screen', 'Rest', 'Snore', 'Protect', 'Giga Drain', 'Charm', 'Attract', 'Sunny Day', 'Facade', 'Helping Hand', 'Weather Ball', 'Bullet Seed', 'Grassy Terrain', 'Substitute', 'Endure', 'Sleep Talk', 'Seed Bomb', 'Energy Ball', 'Grass Knot', 'Pollen Puff']"
#0831,Wooloo,['normal'],"['Fluffy', 'Run Away', 'Bulletproof']",42,40,55,40,45,48,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],270,45,"['Growl', 'Tackle', 'Defense Curl', 'Copycat', 'Guard Split', 'Double Kick', 'Headbutt', 'Take Down', 'Guard Swap', 'Reversal', 'Cotton Guard', 'Double-Edge', 'Counter', 'Stomp', 'Swagger', 'Grassy Glide', 'Thunder Wave', 'Rest', 'Snore', 'Protect', 'Attract', 'Facade', 'Payback', 'Round', 'Agility', 'Substitute', 'Endure', 'Sleep Talk', 'Electro Ball', 'Wild Charge']"
#0832,Dubwool,['normal'],"['Fluffy', 'Steadfast', 'Bulletproof']",72,80,100,60,90,88,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],490,81,"['Copycat', 'Defense Curl', 'Growl', 'Tackle', 'Guard Split', 'Double Kick', 'Headbutt', 'Take Down', 'Guard Swap', 'Reversal', 'Cotton Guard', 'Double-Edge', 'Last Resort', 'Counter', 'Stomp', 'Swagger', 'Grassy Glide', 'Mega Kick', 'Hyper Beam', 'Giga Impact', 'Thunder Wave', 'Rest', 'Snore', 'Protect', 'Attract', 'Facade', 'Bounce', 'Payback', 'Round', 'Retaliate', 'Swords Dance', 'Body Slam', 'Agility', 'Substitute', 'Endure', 'Sleep Talk', 'Baton Pass', 'Zen Headbutt', 'Electro Ball', 'Wild Charge', 'Body Press']"
#0833,Chewtle,['water'],"['Strong Jaw', 'Shell Armor', 'Swift Swim']",50,64,50,38,38,44,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",284,47,"['Tackle', 'Water Gun', 'Bite', 'Protect', 'Headbutt', 'Counter', 'Jaw Lock', 'Liquidation', 'Body Slam', 'Dragon Tail', 'Gastro Acid', 'Shell Smash', 'Take Down', 'Scary Face', 'Ice Fang', 'Water Pulse', 'Chilling Water', 'Facade', 'Mud Shot', 'Endure', 'Rain Dance', 'False Swipe', 'Sleep Talk', 'Waterfall', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Substitute', 'Crunch', 'Surf', 'Hydro Pump', 'Tera Blast', 'Whirlpool', 'Skitter Smack', 'Skull Bash', 'Scale Shot', 'Snore', 'Attract', 'Revenge', 'Dive', 'Payback', 'Assurance', 'Round']"
#0834,Drednaw,"['water', 'rock']","['Strong Jaw', 'Shell Armor', 'Swift Swim']",90,115,90,48,68,74,"['flying', 'rock', 'bug', 'fire', 'ice']","['fighting', 'steel', 'water', 'grass', 'dragon']","['normal', 'flying', 'poison', 'fire', 'ice']","['fighting', 'ground', 'grass', 'electric']",485,80,"['G-Max Stonesurge', 'Bite', 'Crunch', 'Protect', 'Razor Shell', 'Rock Polish', 'Tackle', 'Water Gun', 'Headbutt', 'Counter', 'Jaw Lock', 'Liquidation', 'Body Slam', 'Head Smash', 'Rock Tomb', 'Dragon Tail', 'Gastro Acid', 'Shell Smash', 'Take Down', 'Scary Face', 'Ice Fang', 'Water Pulse', 'Chilling Water', 'Facade', 'Bulldoze', 'Mud Shot', 'Endure', 'Rain Dance', 'Sandstorm', 'Smart Strike', 'Dig', 'False Swipe', 'Sleep Talk', 'Rock Blast', 'Waterfall', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Swords Dance', 'Body Press', 'Substitute', 'Iron Defense', 'Stealth Rock', 'Surf', 'Ice Spinner', 'Earth Power', 'Ice Beam', 'Hydro Pump', 'Blizzard', 'Earthquake', 'Stone Edge', 'Giga Impact', 'Hyper Beam', 'Tera Blast', 'Sand Tomb', 'Super Fang', 'High Horsepower', 'Double-Edge', 'Whirlpool', 'Muddy Water', 'Skitter Smack', 'Meteor Beam', 'Throat Chop', 'Skull Bash', 'Scale Shot', 'Snore', 'Attract', 'Revenge', 'Dive', 'Payback', 'Assurance', 'Round', 'Megahorn', 'Iron Tail', 'Superpower', 'Scald']"
