name,type,catagory,power,accuracy,pp,TM number,effect,effect probability
Assurance,Dark,physical,60,100,10,TM58,Power doubles if opponent already took damage in the same turn.,none
Astonish,Ghost,physical,30,100,15,none,May cause flinching.,30
Astral Barrage,Ghost,special,120,100,5,none,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,none
Attack Order,Bug,physical,90,100,15,none,High critical hit ratio.,none
Attract,Normal,status,none,100,15,TM31,"If opponent is the opposite gender, it's less likely to attack.",none
Aura Sphere,Fighting,special,80,∞,20,none,Ignores Accuracy and Evasiveness.,none
Aura Wheel,Electric,physical,110,100,10,none,Changes type based on Morpeko's Mode.,100
Aurora Beam,Ice,special,65,100,20,none,May lower opponent's Attack.,10
Aurora Veil,Ice,status,none,none,20,none,Halves damage from Physical and Special attacks for five turns.,none
Autotomize,Steel,status,none,none,15,none,Reduces weight and sharply raises Speed.,none
Avalanche,Ice,physical,60,100,10,TM64,Power doubles if user took damage first.,none
Baby-Doll Eyes,Fairy,status,none,100,30,none,Always goes first. Lowers the target's attack.,none
Baddy Bad,Dark,special,90,100,15,none,Reduces damage from Physical attacks.,none
Baneful Bunker,Poison,status,none,none,10,none,Protects the user and poisons opponent on contact.,none
Barrage,Normal,physical,15,85,20,none,Hits 2-5 times in one turn.,none
Barrier,Psychic,status,none,none,20,none,Sharply raises user's Defense.,none
Baton Pass,Normal,status,none,none,40,none,User switches out and gives stat changes to the incoming Pokémon.,none
Beak Blast,Flying,physical,100,100,15,none,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",none
Beat Up,Dark,physical,none,100,10,TM37,Each Pokémon in your party attacks.,none
Behemoth Bash,Steel,physical,100,100,5,none,Damage doubles if user is Dynamaxed.,none
Behemoth Blade,Steel,physical,100,100,5,none,Damage doubles if user is Dynamaxed.,none
Belch,Poison,special,120,90,10,none,User must have consumed a Berry.,none
Belly Drum,Normal,status,none,none,10,none,"User loses 50% of its max HP, but Attack raises to maximum.",none
Bestow,Normal,status,none,none,15,none,Gives the user's held item to the target.,none
Bide,Normal,physical,none,none,10,none,User takes damage for two turns then strikes back double.,none
Bind,Normal,physical,15,85,20,none,"Traps opponent, damaging them for 4-5 turns.",100
Bite,Dark,physical,60,100,25,none,May cause flinching.,30
Black Hole Eclipse,Dark,none,none,none,1,none,Dark type Z-Move.,none
Blast Burn,Fire,special,150,90,5,none,User must recharge next turn.,none
Blaze Kick,Fire,physical,85,90,10,none,High critical hit ratio. May burn opponent.,10
Blizzard,Ice,special,110,70,5,none,May freeze opponent.,10
Block,Normal,status,none,none,5,none,Opponent cannot flee or switch.,none
Bloom Doom,Grass,none,none,none,1,none,Grass type Z-Move.,none
Blue Flare,Fire,special,130,85,5,none,May burn opponent.,20
Body Press,Fighting,physical,80,100,10,none,"The higher the user's Defense, the stronger the attack.",none
Body Slam,Normal,physical,85,100,15,none,May paralyze opponent.,30
Bolt Beak,Electric,physical,85,100,10,none,"If the user attacks before the target, the power of this move is doubled.",none
Bolt Strike,Electric,physical,130,85,5,none,May paralyze opponent.,20
Bone Club,Ground,physical,65,85,20,none,May cause flinching.,10
Bone Rush,Ground,physical,25,90,10,none,Hits 2-5 times in one turn.,none
Bonemerang,Ground,physical,50,90,10,none,Hits twice in one turn.,none
Boomburst,Normal,special,140,100,10,none,Hits all adjacent Pokémon.,none
Bounce,Flying,physical,85,85,5,TM52,"Springs up on first turn, attacks on second. May paralyze opponent.",30
Bouncy Bubble,Water,special,90,100,15,none,User recovers half the HP inflicted on opponent.,none
Branch Poke,Grass,physical,40,100,40,none,none,none
Brave Bird,Flying,physical,120,100,15,none,User receives recoil damage.,none
Breaking Swipe,Dragon,physical,60,100,15,TM99,Hits multiple opponents and lowers their attack.,100
Breakneck Blitz,Normal,none,none,none,1,none,Normal type Z-Move.,none
Brick Break,Fighting,physical,75,100,15,TM43,Breaks through Reflect and Light Screen barriers.,none
Brine,Water,special,65,100,10,TM55,Power doubles if opponent's HP is less than 50%.,none
Brutal Swing,Dark,physical,60,100,20,TM97,The user swings its body around violently to inflict damage on everything in its vicinity.,none
Bubble,Water,special,40,100,30,none,May lower opponent's Speed.,10
Bubble Beam,Water,special,65,100,20,none,May lower opponent's Speed.,10
Bug Bite,Bug,physical,60,100,20,none,Receives the effect from the opponent's held berry.,none
Bug Buzz,Bug,special,90,100,10,none,May lower opponent's Special Defense.,10
Bulk Up,Fighting,status,none,none,20,none,Raises user's Attack and Defense.,none
Bulldoze,Ground,physical,60,100,20,TM81,Lowers opponent's Speed.,100
Bullet Punch,Steel,physical,40,100,30,none,User attacks first.,none
Bullet Seed,Grass,physical,25,100,30,TM50,Hits 2-5 times in one turn.,none
Burn Up,Fire,special,130,100,5,none,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",none
Burning Jealousy,Fire,special,70,100,5,none,"Hits all opponents, and burns any that have had their stats boosted.",none
Buzzy Buzz,Electric,special,90,100,15,none,Paralyzes the opponent.,100
Calm Mind,Psychic,status,none,none,20,none,Raises user's Special Attack and Special Defense.,none
Camouflage,Normal,status,none,none,20,none,Changes user's type according to the location.,none
Captivate,Normal,status,none,100,20,none,Sharply lowers opponent's Special Attack if opposite gender.,none
Catastropika,Electric,physical,210,none,1,none,Pikachu-exclusive Z-Move.,none
Celebrate,Normal,status,none,none,40,none,The Pokémon congratulates you on your special day. No battle effect.,none
Charge,Electric,status,none,none,20,none,Raises user's Special Defense and next Electric move's power increases.,none
Charge Beam,Electric,special,50,90,10,none,May raise user's Special Attack.,70
Charm,Fairy,status,none,100,20,TM29,Sharply lowers opponent's Attack.,none
Chatter,Flying,special,65,100,20,none,Confuses opponent.,100
Chip Away,Normal,physical,70,100,20,none,Ignores opponent's stat changes.,none
Circle Throw,Fighting,physical,60,90,10,none,"In battles, the opponent switches. In the wild, the Pokémon runs.",none
Clamp,Water,physical,35,85,15,none,"Traps opponent, damaging them for 4-5 turns.",100
Clanging Scales,Dragon,special,110,100,5,none,Lowers user's Defense.,100
Clangorous Soul,Dragon,status,none,100,5,none,Raises all user's stats but loses HP.,100
Clangorous Soulblaze,Dragon,special,185,none,1,none,Kommo-o exclusive Z-Move.,none
Clear Smog,Poison,special,50,none,15,none,Removes all of the target's stat changes.,none
Close Combat,Fighting,physical,120,100,5,none,Lowers user's Defense and Special Defense.,100
Coaching,Fighting,status,none,none,10,none,Boosts Attack and Defense of a teammate.,none
Coil,Poison,status,none,none,20,none,"Raises user's Attack, Defense and Accuracy.",none
Comet Punch,Normal,physical,18,85,15,none,Hits 2-5 times in one turn.,none
Confide,Normal,status,none,none,20,none,Lowers opponent's Special Attack.,100
Confuse Ray,Ghost,status,none,100,10,none,Confuses opponent.,none
Confusion,Psychic,special,50,100,25,none,May confuse opponent.,10
Constrict,Normal,physical,10,100,35,none,May lower opponent's Speed by one stage.,10
Continental Crush,Rock,none,none,none,1,none,Rock type Z-Move.,none
Conversion,Normal,status,none,none,30,none,Changes user's type to that of its first move.,none
Conversion 2,Normal,status,none,none,30,none,User changes type to become resistant to opponent's last move.,none
Copycat,Normal,status,none,none,20,none,Copies opponent's last move.,none
Core Enforcer,Dragon,special,100,100,10,none,Scorches a 'Z' pattern on the ground.,none
Corkscrew Crash,Steel,none,none,none,1,none,Steel type Z-Move.,none
Corrosive Gas,Poison,status,none,100,40,none,Removes opponent's items.,none
Cosmic Power,Psychic,status,none,none,20,none,Raises user's Defense and Special Defense.,none
Cotton Guard,Grass,status,none,none,10,none,Drastically raises user's Defense.,none
Cotton Spore,Grass,status,none,100,40,none,Sharply lowers opponent's Speed.,none
Counter,Fighting,physical,none,100,20,none,"When hit by a Physical Attack, user strikes back with 2x power.",none
Court Change,Normal,status,none,100,10,none,Swaps the effects on either side of the field.,none
Covet,Normal,physical,60,100,25,none,Opponent's item is stolen by the user.,none
Crabhammer,Water,physical,100,90,10,none,High critical hit ratio.,none
Crafty Shield,Fairy,status,none,none,10,none,Protects the Pokémon from status moves.,none
Cross Chop,Fighting,physical,100,80,5,none,High critical hit ratio.,none
Cross Poison,Poison,physical,70,100,20,TM73,High critical hit ratio. May poison opponent.,10
Crunch,Dark,physical,80,100,15,none,May lower opponent's Defense.,20
Crush Claw,Normal,physical,75,95,10,none,May lower opponent's Defense.,50
Crush Grip,Normal,physical,none,100,5,none,More powerful when opponent has higher HP.,none
Curse,Ghost,status,none,none,10,none,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",none
Cut,Normal,physical,50,95,30,none,none,none
Dark Pulse,Dark,special,80,100,15,none,May cause flinching.,20
Dark Void,Dark,status,none,50,10,none,Puts all adjacent opponents to sleep.,none
Darkest Lariat,Dark,physical,85,100,10,none,Ignores opponent's stat changes.,none
Dazzling Gleam,Fairy,special,80,100,10,none,Hits all adjacent opponents.,none
Decorate,Fairy,status,none,none,15,none,Sharply raises target's Attack and Special Attack.,100
Defend Order,Bug,status,none,none,10,none,Raises user's Defense and Special Defense.,none
Defense Curl,Normal,status,none,none,40,none,Raises user's Defense.,none
Defog,Flying,status,none,none,15,none,Lowers opponent's Evasiveness and clears fog.,none
Destiny Bond,Ghost,status,none,none,5,none,"If the user faints, the opponent also faints.",none
Detect,Fighting,status,none,none,5,none,"Protects the user, but may fail if used consecutively.",none
Devastating Drake,Dragon,none,none,none,1,none,Dragon type Z-Move.,none
Diamond Storm,Rock,physical,100,95,5,none,May sharply raise user's Defense.,50
Dig,Ground,physical,80,100,10,TM15,"Digs underground on first turn, attacks on second. Can also escape from caves.",none
Disable,Normal,status,none,100,20,none,Opponent can't use its last attack for a few turns.,none
Disarming Voice,Fairy,special,40,∞,15,none,Ignores Accuracy and Evasiveness.,none
Discharge,Electric,special,80,100,15,none,May paralyze opponent.,30
Dive,Water,physical,80,100,10,TM45,"Dives underwater on first turn, attacks on second turn.",none
Dizzy Punch,Normal,physical,70,100,10,none,May confuse opponent.,20
Doom Desire,Steel,special,140,100,5,none,Damage occurs 2 turns later.,none
Double Hit,Normal,physical,35,90,10,none,Hits twice in one turn.,none
Double Iron Bash,Steel,physical,60,100,5,none,Hits twice in one turn; may cause flinching.,30
Double Kick,Fighting,physical,30,100,30,none,Hits twice in one turn.,none
Double Slap,Normal,physical,15,85,10,none,Hits 2-5 times in one turn.,none
Double Team,Normal,status,none,none,15,none,Raises user's Evasiveness.,none
Double-Edge,Normal,physical,120,100,15,none,User receives recoil damage.,none
Draco Meteor,Dragon,special,130,90,5,none,Sharply lowers user's Special Attack.,100
Dragon Ascent,Flying,physical,120,100,5,none,Lowers user's Defense and Special Defense.,100
Dragon Breath,Dragon,special,60,100,20,none,May paralyze opponent.,30
Dragon Claw,Dragon,physical,80,100,15,none,none,none
Dragon Dance,Dragon,status,none,none,20,none,Raises user's Attack and Speed.,none
Dragon Darts,Dragon,physical,50,100,10,none,User attacks twice.,none
Dragon Energy,Dragon,special,150,100,5,none,"The higher the user's HP, the higher the power.",none
Dragon Hammer,Dragon,physical,90,100,15,none,The user uses its body like a hammer to attack the target and inflict damage.,none
Dragon Pulse,Dragon,special,85,100,10,none,none,none
Dragon Rage,Dragon,special,none,100,10,none,Always inflicts 40 HP.,none
Dragon Rush,Dragon,physical,100,75,10,none,May cause flinching.,20
Dragon Tail,Dragon,physical,60,90,10,none,"In battles, the opponent switches. In the wild, the Pokémon runs.",none
Drain Punch,Fighting,physical,75,100,10,TM63,User recovers half the HP inflicted on opponent.,none
Draining Kiss,Fairy,special,50,100,10,TM87,User recovers most the HP inflicted on opponent.,none
Dream Eater,Psychic,special,100,100,15,none,User recovers half the HP inflicted on a sleeping opponent.,none
Drill Peck,Flying,physical,80,100,20,none,none,none
Drill Run,Ground,physical,80,95,10,none,High critical hit ratio.,none
Drum Beating,Grass,physical,80,100,10,none,Lowers opponent's Speed.,100
Dual Chop,Dragon,physical,40,90,15,none,Hits twice in one turn.,none
Dual Wingbeat,Flying,physical,40,90,10,none,The user slams the target with its wings. The target is hit twice in a row.,none
Dynamax Cannon,Dragon,special,100,100,5,none,Damage doubles if opponent is Dynamaxed.,none
Dynamic Punch,Fighting,physical,100,50,5,none,Confuses opponent.,100
Earth Power,Ground,special,90,100,10,none,May lower opponent's Special Defense.,10
Earthquake,Ground,physical,100,100,10,none,Power is doubled if opponent is underground from using Dig.,none
Echoed Voice,Normal,special,40,100,15,none,Power increases each turn.,none
Eerie Impulse,Electric,status,none,100,15,TM93,Sharply lowers opponent's Special Attack.,none
Eerie Spell,Psychic,special,80,100,5,none,Deals damage and reduces opponent's PP.,none
Egg Bomb,Normal,physical,100,75,10,none,none,none
Electric Terrain,Electric,status,none,none,10,TM90,Prevents all Pokémon from falling asleep for 5 turns.,none
Electrify,Electric,status,none,none,20,none,Changes the target's move to Electric type.,none
Electro Ball,Electric,special,none,100,10,none,"The faster the user, the stronger the attack.",none
Electroweb,Electric,special,55,95,15,TM82,Lowers opponent's Speed.,100
Embargo,Dark,status,none,100,15,none,Opponent cannot use items.,none
Ember,Fire,special,40,100,25,none,May burn opponent.,10
Encore,Normal,status,none,100,5,none,Forces opponent to keep using its last move for 3 turns.,none
Endeavor,Normal,physical,none,100,5,none,Reduces opponent's HP to same as user's.,none
Endure,Normal,status,none,none,10,none,"Always left with at least 1 HP, but may fail if used consecutively.",none
Energy Ball,Grass,special,90,100,10,none,May lower opponent's Special Defense.,10
Entrainment,Normal,status,none,100,15,none,Makes target's ability same as user's.,none
Eruption,Fire,special,150,100,5,none,Stronger when the user's HP is higher.,none
Eternabeam,Dragon,special,160,90,5,none,User can't move on the next turn.,none
Expanding Force,Psychic,special,80,100,10,none,Increases power and hits all opponents on Psychic Terrain.,none
Explosion,Normal,physical,250,100,5,none,User faints.,none
Extrasensory,Psychic,special,80,100,20,none,May cause flinching.,10
Extreme Evoboost,Normal,status,none,none,1,none,Eevee-exclusive Z-Move. Sharply raises all stats.,100
Extreme Speed,Normal,physical,80,100,5,none,User attacks first.,none
Facade,Normal,physical,70,100,20,TM39,"Power doubles if user is burned, poisoned, or paralyzed.",none
Fairy Lock,Fairy,status,none,none,10,none,Prevents fleeing in the next turn.,none
Fairy Wind,Fairy,special,40,100,30,none,none,none
Fake Out,Normal,physical,40,100,10,none,"User attacks first, foe flinches. Only usable on first turn.",100
Fake Tears,Dark,status,none,100,20,TM47,Sharply lowers opponent's Special Defense.,none
False Surrender,Dark,physical,80,∞,10,none,Ignores Accuracy and Evasiveness.,none
False Swipe,Normal,physical,40,100,40,TM94,Always leaves opponent with at least 1 HP.,none
Feather Dance,Flying,status,none,100,15,none,Sharply lowers opponent's Attack.,none
Feint,Normal,physical,30,100,10,none,Only hits if opponent uses Protect or Detect in the same turn.,none
Feint Attack,Dark,physical,60,∞,20,none,Ignores Accuracy and Evasiveness.,none
Fell Stinger,Bug,physical,50,100,25,none,Drastically raises user's Attack if target is KO'd.,none
Fiery Dance,Fire,special,80,100,10,none,May raise user's Special Attack.,50
Fiery Wrath,Dark,special,90,100,10,none,May cause flinching.,20
Final Gambit,Fighting,special,none,100,5,none,Inflicts damage equal to the user's remaining HP. User faints.,none
Fire Blast,Fire,special,110,85,5,none,May burn opponent.,10
Fire Fang,Fire,physical,65,95,15,TM68,May cause flinching and/or burn opponent.,10
Fire Lash,Fire,physical,80,100,15,none,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100
Fire Pledge,Fire,special,80,100,10,none,Added effects appear if combined with Grass Pledge or Water Pledge.,none
Fire Punch,Fire,physical,75,100,15,TM03,May burn opponent.,10
Fire Spin,Fire,special,35,85,15,TM13,"Traps opponent, damaging them for 4-5 turns.",100
First Impression,Bug,physical,90,100,10,none,"Although this move has great power, it only works the first turn the user is in battle.",none
Fishious Rend,Water,physical,85,100,10,none,"If the user attacks before the target, the power of this move is doubled.",none
Fissure,Ground,physical,none,30,5,none,"One-Hit-KO, if it hits.",none
Flail,Normal,physical,none,100,15,none,"The lower the user's HP, the higher the power.",none
Flame Burst,Fire,special,70,100,15,none,May also injure nearby Pokémon.,none
Flame Charge,Fire,physical,50,100,20,none,Raises user's Speed.,100
Flame Wheel,Fire,physical,60,100,25,none,May burn opponent.,10
Flamethrower,Fire,special,90,100,15,none,May burn opponent.,10
Flare Blitz,Fire,physical,120,100,15,none,User receives recoil damage. May burn opponent.,10
Flash,Normal,status,none,100,20,none,Lowers opponent's Accuracy.,none
Flash Cannon,Steel,special,80,100,10,none,May lower opponent's Special Defense.,10
Flatter,Dark,status,none,100,15,none,"Confuses opponent, but raises its Special Attack by two stages.",none
Fleur Cannon,Fairy,special,130,90,5,none,Sharply lowers user's Special Attack.,100
Fling,Dark,physical,none,100,10,TM59,Power depends on held item.,none
Flip Turn,Water,physical,60,100,20,none,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",none
Floaty Fall,Flying,physical,90,95,15,none,May cause flinching.,30
Floral Healing,Fairy,status,none,none,10,none,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,none
Flower Shield,Fairy,status,none,none,10,none,Sharply raises Defense of all Grass-type Pokémon on the field.,100
Fly,Flying,physical,90,95,15,TM06,"Flies up on first turn, attacks on second turn.",none
Flying Press,Fighting,physical,100,95,10,none,Deals Fighting and Flying type damage.,none
Focus Blast,Fighting,special,120,70,5,none,May lower opponent's Special Defense.,10
Focus Energy,Normal,status,none,none,30,none,Increases critical hit ratio.,none
Focus Punch,Fighting,physical,150,100,20,none,"If the user is hit before attacking, it flinches instead.",none
Follow Me,Normal,status,none,none,20,none,"In Double Battle, the user takes all the attacks.",none
Force Palm,Fighting,physical,60,100,10,none,May paralyze opponent.,30
Foresight,Normal,status,none,none,40,none,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",none
Forest's Curse,Grass,status,none,100,20,none,Adds Grass type to opponent.,none
Foul Play,Dark,physical,95,100,15,none,Uses the opponent's Attack stat.,none
Freeze Shock,Ice,physical,140,90,5,none,"Charges on first turn, attacks on second. May paralyze opponent.",30
Freeze-Dry,Ice,special,70,100,20,none,May freeze opponent. Super-effective against Water types.,10
Freezing Glare,Psychic,special,90,100,10,none,May freeze opponent.,10
Freezy Frost,Ice,special,90,100,15,none,Resets all stat changes.,none
Frenzy Plant,Grass,special,150,90,5,none,User must recharge next turn.,none
Frost Breath,Ice,special,60,90,10,none,Always results in a critical hit.,100
Frustration,Normal,physical,none,100,20,none,Power decreases with higher Friendship.,none
Fury Attack,Normal,physical,15,85,20,none,Hits 2-5 times in one turn.,none
Fury Cutter,Bug,physical,40,95,20,none,Power increases each turn.,none
Fury Swipes,Normal,physical,18,80,15,none,Hits 2-5 times in one turn.,none
Fusion Bolt,Electric,physical,100,100,5,none,Power increases if Fusion Flare is used in the same turn.,none
Fusion Flare,Fire,special,100,100,5,none,Power increases if Fusion Bolt is used in the same turn.,none
Future Sight,Psychic,special,120,100,10,none,Damage occurs 2 turns later.,none
G-Max Befuddle,Bug,physical,none,∞,5,none,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.",100
G-Max Cannonade,Water,physical,none,∞,10,none,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,none
G-Max Centiferno,Fire,physical,none,∞,5,none,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Chi Strike,Fighting,physical,none,∞,5,none,Machamp-exclusive G-Max Move. Increases critical hit ratio.,none
G-Max Cuddle,Normal,physical,none,∞,5,none,Eevee-exclusive G-Max Move. Infatuates opponents.,100
G-Max Depletion,Dragon,physical,none,∞,5,none,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,none
G-Max Drum Solo,Grass,physical,none,∞,5,none,Rillaboom-exclusive G-Max Move. Ignores target's ability.,none
G-Max Finale,Fairy,physical,none,∞,5,none,Alcremie-exclusive G-Max Move. Heals the user's team.,none
G-Max Fireball,Fire,physical,none,∞,5,none,Cinderace-exclusive G-Max Move. Ignores target's ability.,none
G-Max Foam Burst,Water,physical,none,∞,5,none,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,100
G-Max Gold Rush,Normal,physical,none,∞,5,none,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,100
G-Max Gravitas,Psychic,physical,none,∞,5,none,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,none
G-Max Hydrosnipe,Water,physical,none,∞,5,none,Inteleon-exclusive G-Max Move. Ignores target's ability.,none
G-Max Malodor,Poison,physical,none,∞,5,none,Garbodor-exclusive G-Max Move. Poisons opponents.,100
G-Max Meltdown,Steel,physical,none,∞,5,none,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,none
G-Max One Blow,Dark,physical,none,∞,5,none,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,none
G-Max Rapid Flow,Water,physical,none,∞,5,none,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,none
G-Max Replenish,Normal,physical,none,∞,5,none,Snorlax-exclusive G-Max Move. Recycles Berries.,none
G-Max Resonance,Ice,physical,none,∞,5,none,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,none
G-Max Sandblast,Ground,physical,none,∞,5,none,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Smite,Fairy,physical,none,∞,5,none,Hatterene-exclusive G-Max Move. Confuses opponents.,100
G-Max Snooze,Dark,physical,none,∞,5,none,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,none
G-Max Steelsurge,Steel,physical,none,∞,5,none,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,none
G-Max Stonesurge,Water,physical,none,∞,5,none,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,none
G-Max Stun Shock,Electric,physical,none,∞,10,none,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100
G-Max Sweetness,Grass,physical,none,∞,10,none,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,none
G-Max Tartness,Grass,physical,none,∞,10,none,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100
G-Max Terror,Ghost,physical,none,∞,10,none,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,none
G-Max Vine Lash,Grass,physical,none,∞,10,none,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,none
G-Max Volcalith,Rock,physical,none,∞,10,none,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100
G-Max Volt Crash,Electric,physical,none,∞,10,none,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100
G-Max Wildfire,Fire,physical,none,∞,10,none,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
G-Max Wind Rage,Flying,physical,none,∞,10,none,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,none
Gastro Acid,Poison,status,none,100,10,none,Cancels out the effect of the opponent's Ability.,none
Gear Grind,Steel,physical,50,85,15,none,Hits twice in one turn.,none
Gear Up,Steel,status,none,none,20,none,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,none
Genesis Supernova,Psychic,special,185,none,1,none,Mew-exclusive Z-Move.,none
Geomancy,Fairy,status,none,none,10,none,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",none
Giga Drain,Grass,special,75,100,10,TM28,User recovers half the HP inflicted on opponent.,none
Giga Impact,Normal,physical,150,90,5,TM09,User must recharge next turn.,none
Gigavolt Havoc,Electric,none,none,none,1,none,Electric type Z-Move.,none
Glacial Lance,Ice,physical,130,100,5,none,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,none
Glaciate,Ice,special,65,95,10,none,Lowers opponent's Speed.,100
Glare,Normal,status,none,100,30,none,Paralyzes opponent.,none
Glitzy Glow,Psychic,special,90,100,15,none,Reduces damage from Special attacks.,none
Grass Knot,Grass,special,none,100,20,none,"The heavier the opponent, the stronger the attack.",none
Grass Pledge,Grass,special,80,100,10,none,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,none
Grass Whistle,Grass,status,none,55,15,none,Puts opponent to sleep.,none
Grassy Glide,Grass,physical,70,100,20,none,High priority during Grassy Terrain.,none
Grassy Terrain,Grass,status,none,none,10,TM88,Restores a little HP of all Pokémon for 5 turns. ,none
Grav Apple,Grass,physical,80,100,10,none,Lowers the opponent's Defense stat.,100
Gravity,Psychic,status,none,none,5,none,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,none
Growl,Normal,status,none,100,40,none,Lowers opponent's Attack.,none
Growth,Normal,status,none,none,20,none,Raises user's Attack and Special Attack.,none
Grudge,Ghost,status,none,none,5,none,"If the users faints after using this move, the PP for the opponent's last move is depleted.",none
Guard Split,Psychic,status,none,none,10,none,Averages Defense and Special Defense with the target.,none
Guard Swap,Psychic,status,none,none,10,TM61,User and opponent swap Defense and Special Defense.,none
Guardian of Alola,Fairy,special,none,none,1,none,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,none
Guillotine,Normal,physical,none,30,5,none,"One-Hit-KO, if it hits.",none
Gunk Shot,Poison,physical,120,80,5,none,May poison opponent.,30
Gust,Flying,special,40,100,35,none,Hits Pokémon using Fly/Bounce with double power.,none
Gyro Ball,Steel,physical,none,100,5,none,"The slower the user, the stronger the attack.",none
Hail,Ice,status,none,none,10,TM35,Non-Ice types are damaged for 5 turns.,none
Hammer Arm,Fighting,physical,100,90,10,none,Lowers user's Speed.,100
Happy Hour,Normal,status,none,none,30,none,Doubles prize money from trainer battles.,none
Harden,Normal,status,none,none,30,none,Raises user's Defense.,none
