Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg,moves
#0732,Trumbeak,"['normal', 'flying']","['Keen Eye', 'Skill Link', 'Pickup']",55,85,50,40,50,75,"['fighting', 'bug', 'grass']","['rock', 'ghost', 'steel', 'electric']","['ground', 'bug', 'ghost', 'grass']","['rock', 'electric', 'ice']",355,59,"['Growl', 'Peck', 'Rock Blast', 'Rock Smash', 'Supersonic', 'Pluck', 'Roost', 'Fury Attack', 'Screech', 'Drill Peck', 'Bullet Seed', 'Feather Dance', 'Hyper Voice', 'Echoed Voice', 'Take Down', 'Protect', 'Acrobatics', 'Thief', 'Facade', 'Aerial Ace', 'Swift', 'Flame Charge', 'Air Cutter', 'Endure', 'Sunny Day', 'Brick Break', 'U-turn', 'Air Slash', 'Sleep Talk', 'Rest', 'Swords Dance', 'Fly', 'Gunk Shot', 'Substitute', 'Tailwind', 'Heat Wave', 'Helping Hand', 'Brave Bird', 'Tera Blast', 'Smack Down', 'Knock Off', 'Uproar', 'Dual Wingbeat', 'Endeavor', 'Boomburst', 'Mirror Move', 'Defog', 'Sky Attack', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Steel Wing', 'Swagger', 'Confide']"
#0733,Toucannon,"['normal', 'flying']","['Keen Eye', 'Skill Link', 'Sheer Force']",80,120,75,75,75,60,"['fighting', 'bug', 'grass']","['rock', 'ghost', 'steel', 'electric']","['ground', 'bug', 'ghost', 'grass']","['rock', 'electric', 'ice']",485,80,"['Echoed Voice', 'Growl', 'Peck', 'Rock Blast', 'Rock Smash', 'Supersonic', 'Pluck', 'Roost', 'Fury Attack', 'Screech', 'Drill Peck', 'Bullet Seed', 'Feather Dance', 'Hyper Voice', 'Beak Blast', 'Take Down', 'Scary Face', 'Protect', 'Acrobatics', 'Thief', 'Facade', 'Aerial Ace', 'Swift', 'Flame Charge', 'Air Cutter', 'Endure', 'Sunny Day', 'Brick Break', 'U-turn', 'Air Slash', 'Sleep Talk', 'Seed Bomb', 'Rest', 'Swords Dance', 'Flash Cannon', 'Fly', 'Gunk Shot', 'Substitute', 'Tailwind', 'Heat Wave', 'Encore', 'Helping Hand', 'Giga Impact', 'Overheat', 'Hurricane', 'Hyper Beam', 'Brave Bird', 'Tera Blast', 'Smack Down', 'Knock Off', 'Uproar', 'Dual Wingbeat', 'Psych Up', 'Endeavor', 'Temper Flare', 'Throat Chop', 'Boomburst', 'Mirror Move', 'Defog', 'Sky Attack', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Steel Wing', 'Swagger', 'Confide']"
#0734,Yungoos,['normal'],"['Stakeout', 'Strong Jaw', 'Adaptability']",48,70,30,30,30,45,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],253,42,"['Tackle', 'Leer', 'Payback', 'Sand Attack', 'Work Up', 'Bite', 'Mud-Slap', 'Super Fang', 'Take Down', 'Scary Face', 'Crunch', 'Yawn', 'Thrash', 'Rest', 'Endeavor', 'Fire Fang', 'Ice Fang', 'Last Resort', 'Thunder Fang', 'Protect', 'Thief', 'Trailblaze', 'Chilling Water', 'Facade', 'Bulldoze', 'Mud Shot', 'Rock Tomb', 'Endure', 'Sunny Day', 'Rain Dance', 'Sandstorm', 'Dig', 'Zen Headbutt', 'U-turn', 'Psychic Fangs', 'Sleep Talk', 'Seed Bomb', 'Stomping Tantrum', 'Taunt', 'Substitute', 'Helping Hand', 'Reversal', 'Wild Charge', 'Tera Blast', 'Double-Edge', 'Pursuit', 'Odor Sleuth', 'Bide', 'Hyper Fang', 'Revenge', 'Iron Tail', 'Shock Wave', 'Snore', 'Uproar', 'Toxic', 'Hidden Power', 'Frustration', 'Earthquake', 'Return', 'Double Team', 'Torment', 'Attract', 'Round', 'Echoed Voice', 'Swagger', 'Confide']"
#0735,Gumshoos,['normal'],"['Stakeout', 'Strong Jaw', 'Adaptability']",88,110,60,55,60,45,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],418,69,"['Leer', 'Payback', 'Sand Attack', 'Tackle', 'Work Up', 'Bite', 'Mud-Slap', 'Super Fang', 'Take Down', 'Scary Face', 'Crunch', 'Yawn', 'Thrash', 'Rest', 'Endeavor', 'Fire Fang', 'Ice Fang', 'Last Resort', 'Thunder Fang', 'Protect', 'Thief', 'Trailblaze', 'Chilling Water', 'Facade', 'Bulldoze', 'Mud Shot', 'Rock Tomb', 'Low Sweep', 'Fling', 'Endure', 'Sunny Day', 'Rain Dance', 'Sandstorm', 'Dig', 'Zen Headbutt', 'U-turn', 'Psychic Fangs', 'Body Slam', 'Fire Punch', 'Thunder Punch', 'Ice Punch', 'Sleep Talk', 'Seed Bomb', 'Stomping Tantrum', 'Taunt', 'Iron Head', 'Substitute', 'Helping Hand', 'Reversal', 'Wild Charge', 'Earthquake', 'Giga Impact', 'Hyper Beam', 'Tera Blast', 'Roar', 'Knock Off', 'Focus Punch', 'Double-Edge', 'Curse', 'Pursuit', 'Odor Sleuth', 'Bide', 'Hyper Fang', 'Revenge', 'Block', 'Dual Chop', 'Iron Tail', 'Shock Wave', 'Snore', 'Uproar', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Torment', 'Attract', 'Round', 'Echoed Voice', 'Swagger', 'Confide']"
#0736,Grubbin,['bug'],['Swarm'],47,62,45,55,45,46,"['grass', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'ghost', 'steel', 'fire', 'fairy']","['fighting', 'ground', 'grass']","['flying', 'rock', 'fire']",300,50,"['Mud-Slap', 'Vise Grip', 'String Shot', 'Bug Bite', 'Bite', 'Spark', 'Sticky Web', 'X-Scissor', 'Crunch', 'Dig', 'Discharge', 'Harden', 'Take Down', 'Protect', 'Struggle Bug', 'Pounce', 'Charge Beam', 'Facade', 'Mud Shot', 'Endure', 'Volt Switch', 'Rain Dance', 'Sleep Talk', 'Light Screen', 'Thunder Wave', 'Poison Jab', 'Rest', 'Substitute', 'Thunderbolt', 'Baton Pass', 'Electric Terrain', 'Wild Charge', 'Tera Blast', 'Charge', 'Lunge', 'Electroweb', 'Skitter Smack', 'Rising Voltage', 'Screech', 'Snore', 'Attract', 'Round', 'Acrobatics']"
#0737,Charjabug,"['bug', 'electric']",['Battery'],57,82,95,55,75,36,"['water', 'psychic', 'dark']","['fighting', 'poison', 'ground', 'ghost', 'steel', 'fire', 'electric', 'dragon', 'fairy']","['fighting', 'steel', 'grass', 'electric']","['rock', 'fire']",400,66,"['Bug Bite', 'Mud-Slap', 'String Shot', 'Vise Grip', 'Bite', 'Spark', 'Sticky Web', 'X-Scissor', 'Crunch', 'Dig', 'Iron Defense', 'Discharge', 'Charge', 'Take Down', 'Protect', 'Struggle Bug', 'Pounce', 'Charge Beam', 'Facade', 'Mud Shot', 'Endure', 'Volt Switch', 'Rain Dance', 'Sleep Talk', 'Electro Ball', 'Light Screen', 'Thunder Wave', 'Poison Jab', 'Rest', 'Eerie Impulse', 'Substitute', 'Thunderbolt', 'Baton Pass', 'Electric Terrain', 'Wild Charge', 'Thunder', 'Tera Blast', 'Lunge', 'Electroweb', 'Skitter Smack', 'Harden', 'Rising Voltage', 'Screech', 'Snore', 'Attract', 'Round', 'Acrobatics']"
#0738,Vikavolt,"['bug', 'electric']",['Levitate'],77,70,90,145,75,43,"['water', 'psychic', 'dark']","['fighting', 'poison', 'ground', 'ghost', 'steel', 'fire', 'electric', 'dragon', 'fairy']","['fighting', 'steel', 'grass', 'electric']","['rock', 'fire']",500,83,"['Charge', 'Crunch', 'Discharge', 'String Shot', 'Bite', 'Spark', 'Sticky Web', 'Bug Buzz', 'Guillotine', 'Fly', 'Agility', 'Zap Cannon', 'Thunderbolt', 'Bug Bite', 'Dig', 'Iron Defense', 'Mud-Slap', 'Vise Grip', 'X-Scissor', 'Take Down', 'Protect', 'Acrobatics', 'Struggle Bug', 'Pounce', 'Charge Beam', 'Facade', 'Bulldoze', 'Swift', 'Mud Shot', 'Endure', 'Volt Switch', 'Rain Dance', 'Air Slash', 'Sleep Talk', 'Electro Ball', 'Light Screen', 'Thunder Wave', 'Poison Jab', 'Rest', 'Flash Cannon', 'Eerie Impulse', 'Substitute', 'Energy Ball', 'Baton Pass', 'Electric Terrain', 'Wild Charge', 'Giga Impact', 'Hyper Beam', 'Thunder', 'Solar Beam', 'Tera Blast', 'Lunge', 'Supercell Slam', 'Electroweb', 'Skitter Smack', 'Harden', 'Dual Wingbeat', 'Rising Voltage', 'Screech', 'Snore', 'Attract', 'Round']"
#0739,Crabrawler,['fighting'],"['Hyper Cutter', 'Iron Fist', 'Anger Point']",47,82,57,42,47,63,"['normal', 'rock', 'steel', 'ice', 'dark']","['flying', 'poison', 'bug', 'ghost', 'psychic', 'fairy']","['rock', 'bug', 'dark']","['flying', 'psychic', 'fairy']",338,56,"['Vise Grip', 'Rock Smash', 'Leer', 'Bubble Beam', 'Protect', 'Brick Break', 'Slam', 'Payback', 'Reversal', 'Crabhammer', 'Iron Defense', 'Dynamic Punch', 'Close Combat', 'Endeavor', 'Focus Punch', 'Superpower', 'Wide Guard', 'Take Down', 'Mud-Slap', 'Thief', 'Chilling Water', 'Facade', 'Bulldoze', 'Swift', 'Mud Shot', 'Rock Tomb', 'Fling', 'Endure', 'Sunny Day', 'Rain Dance', 'Dig', 'Zen Headbutt', 'Bulk Up', 'Body Slam', 'Thunder Punch', 'Ice Punch', 'Sleep Talk', 'Drain Punch', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Iron Head', 'Gunk Shot', 'Substitute', 'Liquidation', 'Amnesia', 'Helping Hand', 'Earthquake', 'Focus Blast', 'Tera Blast', 'Knock Off', 'Coaching', 'Upper Hand', 'Bubble', 'Pursuit', 'Power-Up Punch', 'Dizzy Punch', 'Dual Chop', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Scald', 'Brutal Swing', 'Stone Edge', 'Frost Breath', 'Swagger', 'Confide']"
#0740,Crabominable,"['fighting', 'ice']","['Hyper Cutter', 'Iron Fist', 'Anger Point']",97,132,77,62,67,43,"['normal', 'ground', 'rock', 'grass', 'dragon', 'dark']","['poison', 'bug', 'ghost', 'fire', 'water', 'psychic', 'fairy']","['bug', 'ice', 'dark']","['fighting', 'flying', 'steel', 'fire', 'psychic', 'fairy']",478,79,"['Leer', 'Protect', 'Rock Smash', 'Bubble Beam', 'Brick Break', 'Slam', 'Avalanche', 'Reversal', 'Ice Hammer', 'Iron Defense', 'Dynamic Punch', 'Close Combat', 'Ice Punch', 'Endeavor', 'Focus Punch', 'Superpower', 'Wide Guard', 'Take Down', 'Mud-Slap', 'Scary Face', 'Thief', 'Chilling Water', 'Facade', 'Bulldoze', 'Swift', 'Icy Wind', 'Mud Shot', 'Rock Tomb', 'Fling', 'Endure', 'Sunny Day', 'Rain Dance', 'Snowscape', 'Dig', 'Zen Headbutt', 'Bulk Up', 'Body Slam', 'Thunder Punch', 'Sleep Talk', 'Drain Punch', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Body Press', 'Iron Head', 'Gunk Shot', 'Substitute', 'Liquidation', 'Ice Spinner', 'Amnesia', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Earthquake', 'Giga Impact', 'Focus Blast', 'Hyper Beam', 'Tera Blast', 'Knock Off', 'Coaching', 'Hard Press', 'Upper Hand', 'Bubble', 'Pursuit', 'Power-Up Punch', 'Dizzy Punch', 'Block', 'Dual Chop', 'Snore', 'Crabhammer', 'Payback', 'Work Up', 'Toxic', 'Hail', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Scald', 'Brutal Swing', 'Stone Edge', 'Frost Breath', 'Swagger', 'Confide']"
#0741,Oricorio,"['fire', 'flying']",['Dancer'],75,70,70,98,70,93,"['fighting', 'bug', 'grass', 'ice']","['rock', 'fire', 'water', 'electric', 'dragon']","['fighting', 'ground', 'bug', 'steel', 'fire', 'grass', 'fairy']","['rock', 'water', 'electric']",476,79,"['Pound', 'Growl', 'Peck', 'Helping Hand', 'Air Cutter', 'Baton Pass', 'Feather Dance', 'Acrobatics', 'Teeter Dance', 'Roost', 'Flatter', 'Air Slash', 'Revelation Dance', 'Agility', 'Hurricane', 'Attract', 'Defog', 'Pluck', 'Quiver Dance', 'Safeguard', 'Take Down', 'Charm', 'Protect', 'Trailblaze', 'Facade', 'Aerial Ace', 'Swift', 'Icy Wind', 'Endure', 'Sunny Day', 'Rain Dance', 'Sandstorm', 'U-turn', 'Sleep Talk', 'Rest', 'Taunt', 'Swords Dance', 'Fly', 'Substitute', 'Tailwind', 'Calm Mind', 'Reversal', 'Tera Blast', 'Double Slap', 'Captivate', 'Mirror Move', 'Covet', 'Role Play', 'Sky Attack', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Round', 'Steel Wing', 'Quash', 'Embargo', 'Swagger', 'Confide']"
