Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP
#040,Wigglytuff,"['normal', 'fairy']","['Cute Charm', 'Competitive', 'Frisk']",140,70,45,85,50,45
#041,Zubat,"['poison', 'flying']","['Inner Focus', 'Infiltrator']",40,45,35,30,40,55
#042,Golbat,"['poison', 'flying']","['Inner Focus', 'Infiltrator']",75,80,70,65,75,90
#043,Oddish,"['grass', 'poison']","['Chlorophyll', 'Run Away']",45,50,55,75,65,30
#044,Gloom,"['grass', 'poison']","['Chlorophyll', 'Stench']",60,65,70,85,75,40
#045,Vileplume,"['grass', 'poison']","['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50
#046,Paras,"['bug', 'grass']","['Effect Spore', 'Dry Skin', 'Damp']",35,70,55,45,55,25
#047,Parasect,"['bug', 'grass']","['Effect Spore', 'Dry Skin', 'Damp']",60,95,80,60,80,30
#048,Venonat,"['bug', 'poison']","['Compoundeyes', 'Tinted Lens', 'Run Away']",60,55,50,40,55,45
#049,Venomoth,"['bug', 'poison']","['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",70,65,60,90,75,90
#050,Diglett,['ground'],"['Sand Veil', 'Arena Trap', 'Sand Force']",10,55,25,35,45,95
#051,Dugtrio,['ground'],"['Sand Veil', 'Arena Trap', 'Sand Force']",35,100,50,50,70,120
#052,Meowth,['normal'],"['Pickup', 'Technician', 'Unnerve']",40,45,35,40,40,90
#053,Persian,['normal'],"['Limber', 'Technician', 'Unnerve']",65,70,60,65,65,115
#054,Psyduck,['water'],"['Damp', 'Cloud Nine', 'Swift Swim']",50,52,48,65,50,55
#055,Golduck,['water'],"['Damp', 'Cloud Nine', 'Swift Swim']",80,82,78,95,80,85
#056,Mankey,['fighting'],"['Vital Spirit', 'Anger Point', 'Defiant']",40,80,35,35,45,70
#057,Primeape,['fighting'],"['Vital Spirit', 'Anger Point', 'Defiant']",65,105,60,60,70,95
#058,Growlithe,['fire'],"['Intimidate', 'Flash Fire', 'Justified']",55,70,45,70,50,60
#059,Arcanine,['fire'],"['Intimidate', 'Flash Fire', 'Justified']",90,110,80,100,80,95
#060,Poliwag,['water'],"['Water Absorb', 'Damp', 'Swift Swim']",40,50,40,40,40,90
#061,Poliwhirl,['water'],"['Water Absorb', 'Damp', 'Swift Swim']",65,65,65,50,50,90
#062,Poliwrath,"['water', 'fighting']","['Water Absorb', 'Damp', 'Swift Swim']",90,95,95,70,90,70
#063,Abra,['psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",25,20,15,105,55,90
#064,Kadabra,['psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",40,35,30,120,70,105
#065,Alakazam,['psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",55,50,45,135,95,120
#066,Machop,['fighting'],"['Guts', 'No Guard', 'Steadfast']",70,80,50,35,35,35
#067,Machoke,['fighting'],"['Guts', 'No Guard', 'Steadfast']",80,100,70,50,60,45
#068,Machamp,['fighting'],"['Guts', 'No Guard', 'Steadfast']",90,130,80,65,85,55
#069,Bellsprout,"['grass', 'poison']","['Chlorophyll', 'Gluttony']",50,75,35,70,30,40
#070,Weepinbell,"['grass', 'poison']","['Chlorophyll', 'Gluttony']",65,90,50,85,45,55
#071,Victreebel,"['grass', 'poison']","['Chlorophyll', 'Gluttony']",80,105,65,100,70,70
#072,Tentacool,"['water', 'poison']","['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,40,35,50,100,70
#073,Tentacruel,"['water', 'poison']","['Clear Body', 'Liquid Ooze', 'Rain Dish']",80,70,65,80,120,100
#074,Geodude,"['rock', 'ground']","['Rock Head', 'Sturdy', 'Sand Veil']",40,80,100,30,30,20
#075,Graveler,"['rock', 'ground']","['Rock Head', 'Sturdy', 'Sand Veil']",55,95,115,45,45,35
#076,Golem,"['rock', 'ground']","['Rock Head', 'Sturdy', 'Sand Veil']",80,120,130,55,65,45
#077,Ponyta,['fire'],"['Run Away', 'Flash Fire', 'Flame Body']",50,85,55,65,65,90
#078,Rapidash,['fire'],"['Run Away', 'Flash Fire', 'Flame Body']",65,100,70,80,80,105
#079,Slowpoke,"['water', 'psychic']","['Oblivious', 'Own Tempo', 'Regenerator']",90,65,65,40,40,15
#080,Slowbro,"['water', 'psychic']","['Oblivious', 'Own Tempo', 'Regenerator']",95,75,110,100,80,30
#081,Magnemite,"['electric', 'steel']","['Magnet Pull', 'Sturdy', 'Analytic']",25,35,70,95,55,45
#082,Magneton,"['electric', 'steel']","['Magnet Pull', 'Sturdy', 'Analytic']",50,60,95,120,70,70
#083,Farfetch'd,"['normal', 'flying']","['Keen Eye', 'Inner Focus', 'Defiant']",52,90,55,58,62,60
#084,Doduo,"['normal', 'flying']","['Run Away', 'Early Bird', 'Tangled Feet']",35,85,45,35,35,75
#085,Dodrio,"['normal', 'flying']","['Run Away', 'Early Bird', 'Tangled Feet']",60,110,70,60,60,110
#086,Seel,['water'],"['Thick Fat', 'Hydration', 'Ice Body']",65,45,55,45,70,45
#087,Dewgong,"['water', 'ice ']","['Thick Fat', 'Hydration', 'Ice Body']",90,70,80,70,95,70
#088,Grimer,['poison'],"['Stench', 'Sticky Hold', 'Poison Touch']",80,80,50,40,50,25
#089,Muk,['poison'],"['Stench', 'Sticky Hold', 'Poison Touch']",105,105,75,65,100,50
#090,Shellder,['water'],"['Shell Armor', 'Skill Link', 'Overcoat']",30,65,100,45,25,40
#091,Cloyster,"['water', 'ice ']","['Shell Armor', 'Skill Link', 'Overcoat']",50,95,180,85,45,70
#092,Gastly,"['ghost', 'poison']",['Levitate'],30,35,30,100,35,80
#093,Haunter,"['ghost', 'poison']",['Levitate'],45,50,45,115,55,95
#094,Gengar,"['ghost', 'poison']",['Cursed Body'],60,65,60,130,75,110
#095,Onix,"['rock', 'ground']","['Rock Head', 'Sturdy', 'Weak Armor']",35,45,160,30,45,70
#096,Drowzee,['psychic'],"['Insomnia', 'Forewarn', 'Inner Focus']",60,48,45,43,90,42
#097,Hypno,['psychic'],"['Insomnia', 'Forewarn', 'Inner Focus']",85,73,70,73,115,67
#098,Krabby,['water'],"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",30,105,90,25,25,50
#099,Kingler,['water'],"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",55,130,115,50,50,75
#100,Voltorb,['electric'],"['Soundproof', 'Static', 'Aftermath']",40,30,50,55,55,100
#101,Electrode,['electric'],"['Soundproof', 'Static', 'Aftermath']",60,50,70,80,80,150
#102,Exeggcute,"['grass', 'psychic']","['Chlorophyll', 'Harvest']",60,40,80,60,45,40
#103,Exeggutor,"['grass', 'psychic']","['Chlorophyll', 'Harvest']",95,95,85,125,75,55
#104,Cubone,['ground'],"['Rock Head', 'Lightning Rod', 'Battle Armor']",50,50,95,40,50,35
#105,Marowak,['ground'],"['Rock Head', 'Lightning Rod', 'Battle Armor']",60,80,110,50,80,45
#106,Hitmonlee,['fighting'],"['Limber', 'Reckless', 'Unburden']",50,120,53,35,110,87
#107,Hitmonchan,['fighting'],"['Keen Eye', 'Iron Fist', 'Inner Focus']",50,105,79,35,110,76
#108,Lickitung,['normal'],"['Own Tempo', 'Oblivious', 'Cloud Nine']",90,55,75,60,75,30
#109,Koffing,['poison'],"['Levitate', 'Neutralizing Gas', 'Stench']",40,65,95,60,45,35
#110,Weezing,['poison'],"['Levitate', 'Neutralizing Gas', 'Stench']",65,90,120,85,70,60
#111,Rhyhorn,"['ground', 'rock']","['Lightning Rod', 'Rock Head', 'Reckless']",80,85,95,30,30,25
#112,Rhydon,"['ground', 'rock']","['Lightning Rod', 'Rock Head', 'Reckless']",105,130,120,45,45,40
#113,Chansey,['normal'],"['Natural Cure', 'Serene Grace', 'Healer']",250,5,5,35,105,50
#114,Tangela,['grass'],"['Chlorophyll', 'Leaf Guard', 'Regenerator']",65,55,115,100,40,60
#115,Kangaskhan,['normal'],"['Early Bird', 'Scrappy', 'Inner Focus']",105,95,80,40,80,90
#116,Horsea,['water'],"['Swift Swim', 'Sniper', 'Damp']",30,40,70,70,25,60
#117,Seadra,['water'],"['Poison Point', 'Sniper', 'Damp']",55,65,95,95,45,85
#118,Goldeen,['water'],"['Swift Swim', 'Water Veil', 'Lightning Rod']",45,67,60,35,50,63
#119,Seaking,['water'],"['Swift Swim', 'Water Veil', 'Lightning Rod']",80,92,65,65,80,68
#120,Staryu,['water'],"['Illuminate', 'Natural Cure', 'Analytic']",30,45,55,70,55,85
#121,Starmie,"['water', 'psychic']","['Illuminate', 'Natural Cure', 'Analytic']",60,75,85,100,85,115
#122,Mr. Mime,"['psychic', 'fairy']","['Soundproof', 'Filter', 'Technician']",40,45,65,100,120,90
#123,Scyther,"['bug', 'flying']","['Swarm', 'Technician', 'Steadfast']",70,110,80,55,80,105
#124,Jynx,"['ice ', 'psychic']","['Oblivious', 'Forewarn', 'Dry Skin']",65,50,35,115,95,95
#125,Electabuzz,['electric'],"['Static', 'Vital Spirit']",65,83,57,95,85,105
#126,Magmar,['fire'],"['Flame Body', 'Vital Spirit']",65,95,57,100,85,93
#127,Pinsir,['bug'],"['Hyper Cutter', 'Mold Breaker', 'Moxie']",65,125,100,55,70,85
#128,Tauros,['normal'],"['Intimidate', 'Anger Point', 'Sheer Force']",75,100,95,40,70,110
#129,Magikarp,['water'],"['Swift Swim', 'Rattled']",20,10,55,15,20,80
#130,Gyarados,"['water', 'flying']","['Intimidate', 'Moxie']",95,125,79,60,100,81
#131,Lapras,"['water', 'ice ']","['Water Absorb', 'Shell Armor', 'Hydration']",130,85,80,85,95,60
#132,Ditto,['normal'],"['Limber', 'Imposter']",48,48,48,48,48,48
#133,Eevee,['normal'],"['Run Away', 'Adaptability', 'Anticipation']",55,55,50,45,65,55
#134,Vaporeon,['water'],"['Water Absorb', 'Hydration']",130,65,60,110,95,65
#135,Jolteon,['electric'],"['Volt Absorb', 'Quick Feet']",65,65,60,110,95,130
#136,Flareon,['fire'],"['Flash Fire', 'Guts']",65,130,60,95,110,65
#137,Porygon,['normal'],"['Trace', 'Download', 'Analytic']",65,60,70,85,75,40
#138,Omanyte,"['rock', 'water']","['Swift Swim', 'Shell Armor', 'Weak Armor']",35,40,100,90,55,35
#139,Omastar,"['rock', 'water']","['Swift Swim', 'Shell Armor', 'Weak Armor']",70,60,125,115,70,55
#140,Kabuto,"['rock', 'water']","['Swift Swim', 'Battle Armor', 'Weak Armor']",30,80,90,55,45,55
#141,Kabutops,"['rock', 'water']","['Swift Swim', 'Battle Armor', 'Weak Armor']",60,115,105,65,70,80
#142,Aerodactyl,"['rock', 'flying']","['Rock Head', 'Pressure', 'Unnerve']",80,105,65,60,75,130
#143,Snorlax,['normal'],"['Immunity', 'Thick Fat', 'Gluttony']",160,110,65,65,110,30
#144,Articuno,"['ice ', 'flying']","['Pressure', 'Snow Cloak']",90,85,100,95,125,85
#145,Zapdos,"['electric', 'flying']","['Pressure', 'Static']",90,90,85,125,90,100
#146,Moltres,"['fire', 'flying']","['Pressure', 'Flame Body']",90,100,90,125,85,90
#147,Dratini,['dragon'],"['Shed Skin', 'Marvel Scale']",41,64,45,50,50,50
#148,Dragonair,['dragon'],"['Shed Skin', 'Marvel Scale']",61,84,65,70,70,70
#149,Dragonite,"['dragon', 'flying']","['Inner Focus', 'Multiscale']",91,134,95,100,100,80
#150,Mewtwo,['psychic'],"['Pressure', 'Unnerve']",106,110,90,154,90,130
#151,Mew,['psychic'],['Synchronize'],100,100,100,100,100,100
