Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP
#844,Sandaconda,['ground'],"['Sand Spit', 'Shed Skin', 'Sand Veil']",72,107,125,65,70,71
#845,Cramorant,"['flying', 'water']",['Gulp Missile'],70,85,55,85,95,85
#846,Arrokuda,['water'],"['Swift Swim', 'Propeller Tail']",41,63,40,40,30,66
#847,Barraskewda,['water'],"['Swift Swim', 'Propeller Tail']",61,123,60,60,50,136
#848,Toxel,"['electric', 'poison']","['Rattled', 'Static', 'Klutz']",40,38,35,54,35,40
#849,Toxtricity,"['electric', 'poison']","['Punk Rock', 'Plus', 'Technician']",75,98,70,114,70,75
#850,Sizzlipede,"['fire', 'bug']","['Flash Fire', 'White Smoke', 'Flame Body']",50,65,45,50,50,45
#851,Centiskorch,"['fire', 'bug']","['Flash Fire', 'White Smoke', 'Flame Body']",100,115,65,90,90,65
#852,Clobbopus,['fighting'],"['Limber', 'Technician']",50,68,60,50,50,32
#853,Grapploct,['fighting'],"['Limber', 'Technician']",80,118,90,70,80,42
#854,Sinistea,['ghost'],"['Weak Armor', 'Cursed Body']",40,45,45,74,54,50
#855,Polteageist,['ghost'],"['Weak Armor', 'Cursed Body']",60,65,65,134,114,70
#856,Hatenna,['psychic'],"['Healer', 'Anticipation', 'Magic Bounce']",42,30,45,56,53,39
#857,Hattrem,['psychic'],"['Healer', 'Anticipation', 'Magic Bounce']",57,40,65,86,73,49
#858,Hatterene,"['psychic', 'fairy']","['Healer', 'Anticipation', 'Magic Bounce']",57,90,95,136,103,29
#859,Impidimp,"['dark', 'fairy']","['Prankster', 'Frisk', 'Pickpocket']",45,45,30,55,40,50
#860,Morgrem,"['dark', 'fairy']","['Prankster', 'Frisk', 'Pickpocket']",65,60,45,75,55,70
#861,Grimmsnarl,"['dark', 'fairy']","['Prankster', 'Frisk', 'Pickpocket']",95,120,65,95,75,60
#862,Obstagoon,"['dark', 'normal']","['Reckless', 'Guts', 'Defiant']",93,90,101,60,81,95
#863,Perrserker,['steel'],"['Battle Armor', 'Tough Claws', 'Steely Spirit']",70,110,100,50,60,50
#864,Cursola,['ghost'],"['Weak Armor', 'Perish Body']",60,95,50,145,130,30
#865,Sirfetch'd,['fighting'],"['Steadfast', 'Scrappy']",62,135,95,68,82,65
#866,Mr. Rime,"['ice ', 'psychic']","['Tangled Feet', 'Screen Cleaner', 'Ice Body']",80,85,75,110,100,70
#867,Runerigus,"['ground', 'ghost']",['Wandering Spirit'],58,95,145,50,105,30
#868,Milcery,['fairy'],"['Sweet Veil', 'Aroma Veil']",45,40,40,50,61,34
#869,Alcremie,['fairy'],"['Sweet Veil', 'Aroma Veil']",65,60,75,110,121,64
#870,Falinks,['fighting'],"['Battle Armor', 'Defiant']",65,100,100,70,60,75
#871,Pincurchin,['electric'],"['Lightning Rod', 'Electric Surge']",48,101,95,91,85,15
#872,Snom,"['ice ', 'bug']","['Shield Dust', 'Ice Scales']",30,25,35,45,30,20
#873,Frosmoth,"['ice ', 'bug']","['Shield Dust', 'Ice Scales']",70,65,60,125,90,65
#874,Stonjourner,['rock'],['Power Spot'],100,125,135,20,20,70
#875,Eiscue,['ice '],['Ice Face'],75,80,110,65,90,50
#876,Indeedee,"['psychic', 'normal']","['Inner Focus', 'Synchronize', 'Psychic Surge']",60,65,55,105,95,95
#877,Morpeko,"['electric', 'dark']",['Hunger Switch'],58,95,58,70,58,97
#878,Cufant,['steel'],"['Sheer Force', 'Heavy Metal']",72,80,49,40,49,40
#879,Copperajah,['steel'],"['Sheer Force', 'Heavy Metal']",122,130,69,80,69,30
#880,Dracozolt,"['electric', 'dragon']","['Volt Absorb', 'Hustle', 'Sand Rush']",90,100,90,80,70,75
#881,Arctozolt,"['electric', 'ice ']","['Volt Absorb', 'Static', 'Slush Rush']",90,100,90,90,80,55
#882,Dracovish,"['water', 'dragon']","['Water Absorb', 'Strong Jaw', 'Sand Rush']",90,90,100,70,80,75
#883,Arctovish,"['water', 'ice ']","['Water Absorb', 'Ice Body', 'Slush Rush']",90,90,100,80,90,55
#884,Duraludon,"['steel', 'dragon']","['Light Metal', 'Heavy Metal', 'Stalwart']",70,95,115,120,50,85
#885,Dreepy,"['dragon', 'ghost']","['Clear Body', 'Infiltrator', 'Cursed Body']",28,60,30,40,30,82
#886,Drakloak,"['dragon', 'ghost']","['Clear Body', 'Infiltrator', 'Cursed Body']",68,80,50,60,50,102
#887,Dragapult,"['dragon', 'ghost']","['Clear Body', 'Infiltrator', 'Cursed Body']",88,120,75,100,75,142
#888,Zacian,['fairy'],['Intrepid Sword'],92,130,115,80,115,138
#889,Zamazenta,['fighting'],['Dauntless Shield'],92,130,115,80,115,138
#890,Eternatus,"['poison', 'dragon']",['Pressure'],140,85,95,145,95,130
