Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg
#053,Steeneeアママイコ,['grass'],"['Leaf Guard', 'Oblivious', 'Sweet Veil']",52,40,48,40,48,62,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",290,48
#054,Tsareenaアマージョ,['grass'],"['Leaf Guard', 'Queenly Majesty', 'Sweet Veil']",72,120,98,50,98,72,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",510,85
#055,Oddishナゾノクサ,"['grass', 'poison']","['Chlorophyll', 'Run Away']",45,50,55,75,65,30,"['rock', 'water', 'fairy']","['flying', 'poison', 'bug', 'steel', 'fire', 'dragon', 'rock', 'ghost']","['water', 'grass', 'electric', 'fighting', 'fairy']","['flying', 'fire', 'ice', 'psychic']",320,53
#056,Gloomクサイハナ,"['grass', 'poison']","['Chlorophyll', 'Stench']",60,65,70,85,75,40,"['rock', 'water', 'fairy']","['flying', 'poison', 'bug', 'steel', 'fire', 'dragon', 'rock', 'ghost']","['water', 'grass', 'electric', 'fighting', 'fairy']","['flying', 'fire', 'ice', 'psychic']",395,65
#057,Vileplumeラフレシア,"['grass', 'poison']","['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50,"['rock', 'water', 'fairy']","['flying', 'poison', 'bug', 'steel', 'fire', 'dragon', 'rock', 'ghost']","['water', 'grass', 'electric', 'fighting', 'fairy']","['flying', 'fire', 'ice', 'psychic']",490,81
#058,Bellossomキレイハナ,['grass'],"['Chlorophyll', 'Healer']",75,80,95,90,100,50,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",490,81
#059,Budewスボミー,"['grass', 'poison']","['Natural Cure', 'Poison Point', 'Leaf Guard']",40,30,35,50,70,55,"['rock', 'water', 'fairy']","['flying', 'poison', 'bug', 'steel', 'fire', 'dragon', 'rock', 'ghost']","['water', 'grass', 'electric', 'fighting', 'fairy']","['flying', 'fire', 'ice', 'psychic']",280,46
#060,Roseliaロゼリア,"['grass', 'poison']","['Natural Cure', 'Poison Point', 'Leaf Guard']",50,60,45,100,80,65,"['rock', 'water', 'fairy']","['flying', 'poison', 'bug', 'steel', 'fire', 'dragon', 'rock', 'ghost']","['water', 'grass', 'electric', 'fighting', 'fairy']","['flying', 'fire', 'ice', 'psychic']",400,66
#061,Roseradeロズレイド,"['grass', 'poison']","['Natural Cure', 'Poison Point', 'Technician']",60,70,65,125,105,90,"['rock', 'water', 'fairy']","['flying', 'poison', 'bug', 'steel', 'fire', 'dragon', 'rock', 'ghost']","['water', 'grass', 'electric', 'fighting', 'fairy']","['flying', 'fire', 'ice', 'psychic']",515,85
#062,Wingullキャモメ,"['water', 'flying']","['Keen Eye', 'Hydration', 'Rain Dish']",40,30,30,55,30,85,"['ground', 'fire', 'fighting', 'bug']","['water', 'dragon', 'steel', 'electric']","['steel', 'fire', 'water', 'fighting', 'ground', 'bug']","['electric', 'rock']",270,45
#063,Pelipperペリッパー,"['water', 'flying']","['Keen Eye', 'Drizzle', 'Rain Dish']",60,50,100,95,70,65,"['ground', 'fire', 'fighting', 'bug']","['water', 'dragon', 'steel', 'electric']","['steel', 'fire', 'water', 'fighting', 'ground', 'bug']","['electric', 'rock']",440,73
#064,Joltikバチュル,"['bug', 'electric']","['Compoundeyes', 'Unnerve', 'Swarm']",50,47,50,57,50,65,"['psychic', 'dark', 'water']","['fighting', 'poison', 'ghost', 'steel', 'fire', 'fairy', 'ground', 'electric', 'dragon']","['fighting', 'grass', 'steel', 'electric']","['rock', 'fire']",319,53
#065,Galvantulaデンチュラ,"['bug', 'electric']","['Compoundeyes', 'Unnerve', 'Swarm']",70,77,60,97,60,108,"['psychic', 'dark', 'water']","['fighting', 'poison', 'ghost', 'steel', 'fire', 'fairy', 'ground', 'electric', 'dragon']","['fighting', 'grass', 'steel', 'electric']","['rock', 'fire']",472,78
#066,Electrikeラクライ,['electric'],"['Static', 'Lightning Rod', 'Minus']",40,45,40,65,40,65,"['flying', 'water']","['ground', 'grass', 'electric', 'dragon']","['flying', 'steel', 'electric']",['ground'],295,49
#067,Manectricライボルト,['electric'],"['Static', 'Lightning Rod', 'Minus']",70,75,60,105,60,105,"['flying', 'water']","['ground', 'grass', 'electric', 'dragon']","['flying', 'steel', 'electric']",['ground'],475,79
#068,Vulpixロコン,['fire'],"['Flash Fire', 'Drought']",38,41,40,50,65,65,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice']","['ground', 'rock', 'water']",299,49
#069,Ninetalesキュウコン,['fire'],"['Flash Fire', 'Drought']",73,76,75,81,100,100,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice']","['ground', 'rock', 'water']",505,84
#070,Growlitheガーディ,['fire'],"['Intimidate', 'Flash Fire', 'Justified']",55,70,45,70,50,60,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice']","['ground', 'rock', 'water']",350,58
#071,Arcanineウインディ,['fire'],"['Intimidate', 'Flash Fire', 'Justified']",90,110,80,100,80,95,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice']","['ground', 'rock', 'water']",555,92
#072,Vanilliteバニプッチ,['ice'],"['Ice Body', 'Snow Cloak', 'Weak Armor']",36,50,50,65,60,44,"['flying', 'ground', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']",['ice'],"['fighting', 'rock', 'steel', 'fire']",305,50
#073,Vanillishバニリッチ,['ice'],"['Ice Body', 'Snow Cloak', 'Weak Armor']",51,65,65,80,75,59,"['flying', 'ground', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']",['ice'],"['fighting', 'rock', 'steel', 'fire']",395,65
#074,Vanilluxeバイバニラ,['ice'],"['Ice Body', 'Snow Warning', 'Weak Armor']",71,95,85,110,95,79,"['flying', 'ground', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']",['ice'],"['fighting', 'rock', 'steel', 'fire']",535,89
#075,Swinubウリムー,"['ice', 'ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",50,50,40,30,30,50,"['ground', 'dragon', 'poison', 'rock', 'fire', 'electric']","['fire', 'water', 'ice', 'bug']","['poison', 'electric']","['fighting', 'steel', 'fire', 'water', 'grass']",250,41
#076,Piloswineイノムー,"['ice', 'ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",100,100,80,60,60,50,"['ground', 'dragon', 'poison', 'rock', 'fire', 'electric']","['fire', 'water', 'ice', 'bug']","['poison', 'electric']","['fighting', 'steel', 'fire', 'water', 'grass']",450,75
#077,Mamoswineマンムー,"['ice', 'ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",110,130,80,70,60,80,"['ground', 'dragon', 'poison', 'rock', 'fire', 'electric']","['fire', 'water', 'ice', 'bug']","['poison', 'electric']","['fighting', 'steel', 'fire', 'water', 'grass']",530,88
#078,Delibirdデリバード,"['ice', 'flying']","['Vital Spirit', 'Hustle', 'Insomnia']",45,55,45,65,45,75,"['flying', 'ground', 'grass', 'dragon', 'fighting', 'bug']","['steel', 'fire', 'water', 'ice', 'rock', 'electric']","['fighting', 'ground', 'bug', 'grass']","['fighting', 'rock', 'steel', 'fire', 'electric']",330,55
#079,Snoruntユキワラシ,['ice'],"['Inner Focus', 'Ice Body', 'Moody']",50,50,50,50,50,50,"['flying', 'ground', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']",['ice'],"['fighting', 'rock', 'steel', 'fire']",300,50
#080,Glalieオニゴーリ,['ice'],"['Inner Focus', 'Ice Body', 'Moody']",80,80,80,80,80,80,"['flying', 'ground', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']",['ice'],"['fighting', 'rock', 'steel', 'fire']",480,80
#081,Froslassユキメノコ,"['ice', 'ghost']","['Snow Cloak', 'Cursed Body']",70,80,70,80,70,110,"['flying', 'ground', 'grass', 'dragon', 'ghost', 'psychic']","['steel', 'fire', 'water', 'ice', 'normal', 'dark']","['ice', 'normal', 'poison', 'bug']","['rock', 'steel', 'fire', 'ghost', 'dark']",480,80
#082,Baltoyヤジロン,"['ground', 'psychic']",['Levitate'],40,40,55,40,70,55,"['poison', 'rock', 'fire', 'electric', 'fighting']","['flying', 'bug', 'grass', 'dark', 'psychic']","['poison', 'rock', 'electric', 'fighting', 'psychic']","['water', 'ice', 'grass', 'bug', 'ghost', 'dark']",300,50
#083,Claydolネンドール,"['ground', 'psychic']",['Levitate'],60,70,105,70,120,75,"['poison', 'rock', 'fire', 'electric', 'fighting']","['flying', 'bug', 'grass', 'dark', 'psychic']","['poison', 'rock', 'electric', 'fighting', 'psychic']","['water', 'ice', 'grass', 'bug', 'ghost', 'dark']",500,83
#084,Mudbrayドロバンコ,['ground'],"['Own Tempo', 'Stamina', 'Inner Focus']",70,100,70,45,55,45,"['poison', 'rock', 'steel', 'fire', 'electric']","['flying', 'bug', 'grass']","['poison', 'rock', 'electric']","['water', 'ice', 'grass']",385,64
#085,Mudsdaleバンバドロ,['ground'],"['Own Tempo', 'Stamina', 'Inner Focus']",100,125,100,55,85,35,"['poison', 'rock', 'steel', 'fire', 'electric']","['flying', 'bug', 'grass']","['poison', 'rock', 'electric']","['water', 'ice', 'grass']",500,83
#086,Dwebbleイシズマイ,"['bug', 'rock']","['Sturdy', 'Shell Armor', 'Weak Armor']",50,65,85,35,35,55,"['grass', 'psychic', 'dark', 'bug', 'ice']","['fighting', 'poison', 'ghost', 'steel', 'fairy', 'ground']","['ground', 'normal', 'poison']","['rock', 'ground', 'steel', 'water']",325,54
#087,Crustleイワパレス,"['bug', 'rock']","['Sturdy', 'Shell Armor', 'Weak Armor']",70,105,125,65,75,45,"['grass', 'psychic', 'dark', 'bug', 'ice']","['fighting', 'poison', 'ghost', 'steel', 'fairy', 'ground']","['ground', 'normal', 'poison']","['rock', 'ground', 'steel', 'water']",485,80
#088,Golettゴビット,"['ground', 'ghost']","['Iron Fist', 'Klutz', 'No Guard']",59,74,50,35,50,35,"['poison', 'rock', 'steel', 'fire', 'electric', 'ghost', 'psychic']","['flying', 'bug', 'grass', 'normal', 'dark']","['poison', 'rock', 'electric', 'normal', 'fighting', 'bug']","['water', 'ice', 'grass', 'ghost', 'dark']",303,50
#089,Golurkゴルーグ,"['ground', 'ghost']","['Iron Fist', 'Klutz', 'No Guard']",89,124,80,55,80,55,"['poison', 'rock', 'steel', 'fire', 'electric', 'ghost', 'psychic']","['flying', 'bug', 'grass', 'normal', 'dark']","['poison', 'rock', 'electric', 'normal', 'fighting', 'bug']","['water', 'ice', 'grass', 'ghost', 'dark']",483,80
#090,Munnaムンナ,['psychic'],"['Forewarn', 'Synchronize', 'Telepathy']",76,25,45,67,55,24,"['fighting', 'poison']","['steel', 'dark', 'psychic']","['fighting', 'psychic']","['bug', 'ghost', 'dark']",292,48
#091,Musharnaムシャーナ,['psychic'],"['Forewarn', 'Synchronize', 'Telepathy']",116,55,85,107,95,29,"['fighting', 'poison']","['steel', 'dark', 'psychic']","['fighting', 'psychic']","['bug', 'ghost', 'dark']",487,81
#092,Natuネイティ,"['psychic', 'flying']","['Synchronize', 'Early Bird', 'Magic Bounce']",40,50,45,70,45,70,"['fighting', 'poison', 'bug', 'grass']","['steel', 'dark', 'psychic', 'rock', 'electric']","['fighting', 'psychic', 'ground', 'grass']","['ghost', 'dark', 'rock', 'electric', 'ice']",320,53
#093,Xatuネイティオ,"['psychic', 'flying']","['Synchronize', 'Early Bird', 'Magic Bounce']",65,75,70,95,70,95,"['fighting', 'poison', 'bug', 'grass']","['steel', 'dark', 'psychic', 'rock', 'electric']","['fighting', 'psychic', 'ground', 'grass']","['ghost', 'dark', 'rock', 'electric', 'ice']",470,78
#094,Stuffulヌイコグマ,"['normal', 'fighting']","['Fluffy', 'Klutz', 'Cute Charm']",70,75,50,45,50,50,"['normal', 'steel', 'ice', 'dark']","['ghost', 'steel', 'flying', 'poison', 'psychic', 'bug', 'fairy']","['ghost', 'rock', 'bug']","['fighting', 'flying', 'psychic', 'fairy']",340,56
#095,Bewearキテルグマ,"['normal', 'fighting']","['Fluffy', 'Klutz', 'Unnerve']",120,125,80,55,60,60,"['normal', 'steel', 'ice', 'dark']","['ghost', 'steel', 'flying', 'poison', 'psychic', 'bug', 'fairy']","['ghost', 'rock', 'bug']","['fighting', 'flying', 'psychic', 'fairy']",500,83
#096,Snoverユキカブリ,"['grass', 'ice']","['Snow Warning', 'Soundproof']",60,62,50,62,60,40,"['ground', 'rock', 'flying', 'dragon']","['flying', 'poison', 'bug', 'steel', 'fire', 'dragon', 'ice']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'fighting', 'rock', 'steel']",334,55
#097,Abomasnowユキノオー,"['grass', 'ice']","['Snow Warning', 'Soundproof']",90,92,75,92,85,60,"['ground', 'rock', 'flying', 'dragon']","['flying', 'poison', 'bug', 'steel', 'fire', 'dragon', 'ice']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'fighting', 'rock', 'steel']",494,82
