Dex Num,Name,Good against (att),Not good against (att),SE damage from,NVE damage from
#397,Staravia,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#398,Staraptor,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#399,Bidoof,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#400,Bibarel,"['fire', 'ground']","['water', 'grass', 'ghost', 'dragon', 'steel']","['electric', 'grass', 'fighting']","['fire', 'water', 'ice', 'ghost', 'steel', 'fairy']"
#401,Kricketot,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']","['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']"
#402,Kricketune,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']","['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']"
#403,Shinx,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#404,Luxio,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#405,Luxray,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#406,Budew,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#407,Roserade,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#408,Cranidos,"['fire', 'ice', 'flying', 'bug']","['fighting', 'ground', 'steel']","['fire', 'ice', 'flying', 'bug']","['fighting', 'ground', 'steel']"
#409,Rampardos,"['fire', 'ice', 'flying', 'bug']","['fighting', 'ground', 'steel']","['fire', 'ice', 'flying', 'bug']","['fighting', 'ground', 'steel']"
#410,Shieldon,"['ice', 'flying', 'bug', 'rock', 'fairy']","['water', 'electric', 'fighting', 'ground', 'steel']","['water', 'fighting', 'ground']","['normal', 'ice', 'poison', 'flying', 'psychic', 'bug', 'rock', 'dragon', 'fairy']"
#411,Bastiodon,"['ice', 'flying', 'bug', 'rock', 'fairy']","['water', 'electric', 'fighting', 'ground', 'steel']","['water', 'fighting', 'ground']","['normal', 'ice', 'poison', 'flying', 'psychic', 'bug', 'rock', 'dragon', 'fairy']"
#412,Burmy,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']","['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']"
#413,Wormadam,"['water', 'ground', 'psychic', 'rock', 'dark']","['fire', 'fighting', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel', 'fairy']","['fire', 'ice', 'poison', 'flying', 'bug', 'rock']","['water', 'electric', 'grass', 'fighting', 'ground']"
#414,Mothim,"['grass', 'psychic', 'bug', 'dark']","['fire', 'electric', 'poison', 'flying', 'rock', 'ghost', 'steel', 'fairy']","['fire', 'electric', 'ice', 'flying', 'rock']","['grass', 'fighting', 'ground', 'bug']"
#415,Combee,"['grass', 'psychic', 'bug', 'dark']","['fire', 'electric', 'poison', 'flying', 'rock', 'ghost', 'steel', 'fairy']","['fire', 'electric', 'ice', 'flying', 'rock']","['grass', 'fighting', 'ground', 'bug']"
#416,Vespiquen,"['grass', 'psychic', 'bug', 'dark']","['fire', 'electric', 'poison', 'flying', 'rock', 'ghost', 'steel', 'fairy']","['fire', 'electric', 'ice', 'flying', 'rock']","['grass', 'fighting', 'ground', 'bug']"
#417,Pachirisu,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#418,Buizel,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#419,Floatzel,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#420,Cherubi,"['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']","['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']"
#421,Cherrim,"['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']","['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']"
#422,Shellos,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#423,Gastrodon,"['fire', 'electric', 'poison', 'ground', 'rock', 'steel']","['water', 'grass', 'flying', 'bug', 'dragon']",['grass'],"['fire', 'electric', 'poison', 'rock', 'steel']"
#424,Ambipom,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#425,Drifloon,"['grass', 'fighting', 'psychic', 'bug', 'ghost']","['normal', 'electric', 'rock', 'dark', 'steel']","['electric', 'ice', 'rock', 'ghost', 'dark']","['normal', 'grass', 'fighting', 'poison', 'ground', 'bug']"
#426,Drifblim,"['grass', 'fighting', 'psychic', 'bug', 'ghost']","['normal', 'electric', 'rock', 'dark', 'steel']","['electric', 'ice', 'rock', 'ghost', 'dark']","['normal', 'grass', 'fighting', 'poison', 'ground', 'bug']"
#427,Buneary,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#428,Lopunny,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#429,Mismagius,"['psychic', 'ghost']","['normal', 'dark']","['psychic', 'ghost']","['normal', 'dark']"
#430,Honchkrow,"['grass', 'psychic', 'bug', 'ghost']","['electric', 'rock', 'dark', 'steel', 'fairy']","['electric', 'ice', 'rock', 'fairy']","['grass', 'ground', 'psychic', 'ghost', 'dark']"
#431,Glameow,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#432,Purugly,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#433,Chingling,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#434,Stunky,"['grass', 'psychic']","['fighting', 'poison', 'ground', 'rock', 'dark', 'steel']",['ground'],"['grass', 'poison', 'psychic', 'ghost', 'dark']"
#435,Skuntank,"['grass', 'psychic']","['fighting', 'poison', 'ground', 'rock', 'dark', 'steel']",['ground'],"['grass', 'poison', 'psychic', 'ghost', 'dark']"
#436,Bronzor,"['ice', 'fighting', 'poison', 'rock', 'fairy']","['fire', 'water', 'electric', 'psychic', 'dark', 'steel']","['fire', 'ground', 'ghost', 'dark']","['normal', 'grass', 'ice', 'poison', 'flying', 'psychic', 'rock', 'dragon', 'steel', 'fairy']"
#437,Bronzong,"['ice', 'fighting', 'poison', 'rock', 'fairy']","['fire', 'water', 'electric', 'psychic', 'dark', 'steel']","['fire', 'ground', 'ghost', 'dark']","['normal', 'grass', 'ice', 'poison', 'flying', 'psychic', 'rock', 'dragon', 'steel', 'fairy']"
#438,Bonsly,"['fire', 'ice', 'flying', 'bug']","['fighting', 'ground', 'steel']","['fire', 'ice', 'flying', 'bug']","['fighting', 'ground', 'steel']"
#439,Mime Jr.,"['fighting', 'dragon']","['normal', 'psychic', 'dark', 'steel']","['poison', 'ghost', 'steel']","['fighting', 'psychic', 'dragon']"
#440,Happiny,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#441,Chatot,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#442,Spiritomb,"['psychic', 'ghost']","['normal', 'fighting', 'dark', 'fairy']",['fairy'],"['normal', 'fighting', 'poison', 'psychic']"
#443,Gible,"['fire', 'electric', 'poison', 'rock', 'dragon']","['grass', 'flying', 'bug', 'fairy']","['ice', 'dragon', 'fairy']","['fire', 'electric', 'poison', 'rock']"
#444,Gabite,"['fire', 'electric', 'poison', 'rock', 'dragon']","['grass', 'flying', 'bug', 'fairy']","['ice', 'dragon', 'fairy']","['fire', 'electric', 'poison', 'rock']"
#445,Garchomp,"['fire', 'electric', 'poison', 'rock', 'dragon']","['grass', 'flying', 'bug', 'fairy']","['ice', 'dragon', 'fairy']","['fire', 'electric', 'poison', 'rock']"
#446,Munchlax,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#447,Riolu,"['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']","['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']"
#448,Lucario,"['normal', 'ice', 'rock', 'dark']","['fire', 'water', 'electric', 'poison', 'flying', 'psychic', 'bug', 'ghost']","['fire', 'fighting', 'ground']","['normal', 'grass', 'ice', 'poison', 'bug', 'rock', 'dragon', 'dark', 'steel']"
#449,Hippopotas,"['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']","['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']"
#450,Hippowdon,"['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']","['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']"
#451,Skorupi,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'ground', 'flying', 'rock', 'ghost', 'steel']","['fire', 'flying', 'psychic', 'rock']","['grass', 'fighting', 'poison', 'bug', 'fairy']"
#452,Drapion,"['grass', 'psychic']","['fighting', 'poison', 'ground', 'rock', 'dark', 'steel']",['ground'],"['grass', 'poison', 'psychic', 'ghost', 'dark']"
#453,Croagunk,"['normal', 'grass', 'ice', 'dark']","['poison', 'ground', 'flying', 'psychic', 'bug', 'ghost', 'steel']","['ground', 'flying', 'psychic']","['grass', 'fighting', 'poison', 'bug', 'rock', 'dark']"
#454,Toxicroak,"['normal', 'grass', 'ice', 'dark']","['poison', 'ground', 'flying', 'psychic', 'bug', 'ghost', 'steel']","['ground', 'flying', 'psychic']","['grass', 'fighting', 'poison', 'bug', 'rock', 'dark']"
#455,Carnivine,"['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']","['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']"
#456,Finneon,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#457,Lumineon,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#458,Mantyke,"['fire', 'fighting', 'ground', 'bug']","['water', 'electric', 'dragon', 'steel']","['electric', 'rock']","['fire', 'water', 'fighting', 'ground', 'bug', 'steel']"
#459,Snover,"['ground', 'rock']","['fire', 'ice', 'poison', 'bug', 'steel']","['fire', 'fighting', 'poison', 'flying', 'bug', 'rock', 'steel']","['water', 'electric', 'grass', 'ground']"
#460,Abomasnow,"['ground', 'rock']","['fire', 'ice', 'poison', 'bug', 'steel']","['fire', 'fighting', 'poison', 'flying', 'bug', 'rock', 'steel']","['water', 'electric', 'grass', 'ground']"
#461,Weavile,"['grass', 'ground', 'flying', 'psychic', 'ghost', 'dragon']","['fire', 'water', 'ice', 'fighting', 'dark', 'steel', 'fairy']","['fire', 'fighting', 'bug', 'rock', 'steel', 'fairy']","['ice', 'psychic', 'ghost', 'dark']"
#462,Magnezone,"['ice', 'flying', 'rock', 'fairy']","['fire', 'electric', 'grass', 'ground', 'dragon', 'steel']","['fire', 'fighting', 'ground']","['normal', 'electric', 'grass', 'ice', 'poison', 'flying', 'psychic', 'bug', 'rock', 'dragon', 'steel', 'fairy']"
#463,Lickilicky,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#464,Rhyperior,"['fire', 'electric', 'ice', 'poison', 'rock']","['grass', 'fighting', 'ground', 'flying']","['water', 'grass', 'ice', 'fighting', 'ground', 'steel']","['normal', 'fire', 'electric', 'poison', 'flying', 'rock']"
#465,Tangrowth,"['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']","['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']"
#466,Electivire,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#467,Magmortar,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#468,Togekiss,"['grass', 'fighting', 'bug', 'dragon', 'dark']","['normal', 'electric', 'poison', 'rock', 'steel']","['electric', 'ice', 'poison', 'rock', 'steel']","['grass', 'fighting', 'ground', 'bug', 'dragon', 'dark']"
#469,Yanmega,"['grass', 'psychic', 'bug', 'dark']","['fire', 'electric', 'poison', 'flying', 'rock', 'ghost', 'steel', 'fairy']","['fire', 'electric', 'ice', 'flying', 'rock']","['grass', 'fighting', 'ground', 'bug']"
#470,Leafeon,"['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']","['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']"
#471,Glaceon,"['grass', 'ground', 'flying', 'dragon']","['fire', 'water', 'ice', 'steel']","['grass', 'ground', 'flying', 'dragon']","['fire', 'water', 'ice', 'steel']"
#472,Gliscor,"['fire', 'fighting', 'poison']",['flying'],"['water', 'ice']","['electric', 'fighting', 'poison', 'ground', 'bug']"
#473,Mamoswine,"['electric', 'poison', 'ground', 'rock', 'dragon']","['water', 'ice', 'flying', 'bug']","['fire', 'water', 'grass', 'fighting', 'steel']","['electric', 'poison']"
#474,Porygon-Z,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#475,Gallade,"['normal', 'ice', 'fighting', 'rock']","['flying', 'psychic', 'bug', 'ghost', 'dark', 'fairy']","['flying', 'ghost', 'fairy']","['fighting', 'rock']"
#476,Probopass,"['ice', 'flying', 'bug', 'rock', 'fairy']","['water', 'electric', 'fighting', 'ground', 'steel']","['water', 'fighting', 'ground']","['normal', 'ice', 'poison', 'flying', 'psychic', 'bug', 'rock', 'dragon', 'fairy']"
#477,Dusknoir,"['psychic', 'ghost']","['normal', 'dark']","['psychic', 'ghost']","['normal', 'dark']"
#478,Froslass,"['grass', 'ground', 'flying', 'psychic', 'ghost', 'dragon']","['normal', 'fire', 'water', 'ice', 'dark', 'steel']","['fire', 'rock', 'ghost', 'dark', 'steel']","['normal', 'ice', 'fighting', 'poison', 'bug']"
#479,Rotom,"['water', 'flying', 'psychic', 'ghost']","['normal', 'electric', 'grass', 'ground', 'dragon', 'dark']","['ground', 'ghost', 'dark']","['normal', 'electric', 'fighting', 'poison', 'flying', 'bug', 'steel']"
#480,Uxie,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#481,Mesprit,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#482,Azelf,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#483,Dialga,"['ice', 'rock', 'dragon']","['fire', 'water', 'electric', 'steel', 'fairy']","['fighting', 'ground']","['normal', 'water', 'electric', 'grass', 'poison', 'flying', 'psychic', 'bug', 'rock', 'steel']"
#484,Palkia,"['fire', 'ground', 'rock']","['water', 'grass', 'steel', 'fairy']","['dragon', 'fairy']","['fire', 'water', 'steel']"
#485,Heatran,"['grass', 'ice', 'bug', 'fairy']","['fire', 'water', 'electric', 'dragon']","['water', 'fighting', 'ground']","['normal', 'grass', 'ice', 'poison', 'flying', 'psychic', 'bug', 'dragon', 'steel', 'fairy']"
#486,Regigigas,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#487,Giratina,"['psychic', 'ghost', 'dragon']","['normal', 'dark', 'steel', 'fairy']","['ice', 'ghost', 'dragon', 'dark', 'fairy']","['normal', 'fire', 'water', 'electric', 'grass', 'fighting', 'poison', 'bug']"
#488,Cresselia,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#489,Phione,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#490,Manaphy,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#491,Darkrai,"['psychic', 'ghost']","['fighting', 'dark', 'fairy']","['psychic', 'ghost']","['fighting', 'dark', 'fairy']"
#492,Shaymin,"['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']","['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']"
#493,Arceus,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
