name,type,catagory,power,accuracy,pp,effect
Beak Blast,flying,physical,100,100,15,none
Beat Up,dark,physical,none,100,10,none
Behemoth Bash,steel,physical,100,100,5,none
Behemoth Blade,steel,physical,100,100,5,none
Belch,poison,special,120,90,10,none
Belly Drum,normal,status,none,none,10,none
Bestow,normal,status,none,none,15,none
Bide,normal,physical,none,none,10,none
Bind,normal,physical,15,85,20,100
Bite,dark,physical,60,100,25,30
Bitter Blade,fire,physical,90,100,10,none
Bitter Malice,ghost,special,75,100,10,none
Black Hole Eclipse,dark,none,none,none,1,none
Blast Burn,fire,special,150,90,5,none
Blaze Kick,fire,physical,85,90,10,10
Blazing Torque,fire,physical,80,100,10,none
Bleakwind Storm,flying,special,100,80,10,none
Blizzard,ice,special,110,70,5,10
Block,normal,status,none,none,5,none
Blood Moon,normal,special,140,100,5,none
Bloom Doom,grass,none,none,none,1,none
Blue Flare,fire,special,130,85,5,20
Body Press,fighting,physical,80,100,10,none
Body Slam,normal,physical,85,100,15,30
Bolt Beak,electric,physical,85,100,10,none
Bolt Strike,electric,physical,130,85,5,20
Bone Club,ground,physical,65,85,20,10
Bone Rush,ground,physical,25,90,10,none
Bonemerang,ground,physical,50,90,10,none
Boomburst,normal,special,140,100,10,none
Bounce,flying,physical,85,85,5,30
Bouncy Bubble,water,special,90,100,15,none
Branch Poke,grass,physical,40,100,40,none
Brave Bird,flying,physical,120,100,15,none
Breaking Swipe,dragon,physical,60,100,15,100
Breakneck Blitz,normal,none,none,none,1,none
Brick Break,fighting,physical,75,100,15,none
Brine,water,special,65,100,10,none
Brutal Swing,dark,physical,60,100,20,none
Bubble,water,special,40,100,30,10
Bubble Beam,water,special,65,100,20,10
Bug Bite,bug,physical,60,100,20,none
Bug Buzz,bug,special,90,100,10,10
Bulk Up,fighting,status,none,none,20,none
Bulldoze,ground,physical,60,100,20,100
Bullet Punch,steel,physical,40,100,30,none
Bullet Seed,grass,physical,25,100,30,none
Burn Up,fire,special,130,100,5,none
Burning Bulwark,fire,status,none,∞,10,none
Burning Jealousy,fire,special,70,100,5,none
Buzzy Buzz,electric,special,90,100,15,100
Calm Mind,psychic,status,none,none,20,none
Camouflage,normal,status,none,none,20,none
Captivate,normal,status,none,100,20,none
Catastropika,electric,physical,210,none,1,none
Ceaseless Edge,dark,physical,65,90,15,none
Celebrate,normal,status,none,none,40,none
Charge,electric,status,none,none,20,none
Charge Beam,electric,special,50,90,10,70
Charm,fairy,status,none,100,20,none
Chatter,flying,special,65,100,20,100
Chilling Water,water,special,50,100,20,none
Chilly Reception,ice,status,none,none,10,none
Chip Away,normal,physical,70,100,20,none
Chloroblast,grass,special,150,95,5,none
Circle Throw,fighting,physical,60,90,10,none
Clamp,water,physical,35,85,15,100
Clanging Scales,dragon,special,110,100,5,100
Clangorous Soul,dragon,status,none,100,5,100
Clangorous Soulblaze,dragon,special,185,none,1,none
Clear Smog,poison,special,50,none,15,none
Close Combat,fighting,physical,120,100,5,100
Coaching,fighting,status,none,none,10,none
Coil,poison,status,none,none,20,none
Collision Course,fighting,physical,100,100,5,none
Combat Torque,fighting,physical,100,100,10,none
Comet Punch,normal,physical,18,85,15,none
Comeuppance,dark,physical,none,100,10,none
Confide,normal,status,none,none,20,100
Confuse Ray,ghost,status,none,100,10,none
Confusion,psychic,special,50,100,25,10
Constrict,normal,physical,10,100,35,10
Continental Crush,rock,none,none,none,1,none
Conversion,normal,status,none,none,30,none
Conversion 2,normal,status,none,none,30,none
Copycat,normal,status,none,none,20,none
Core Enforcer,dragon,special,100,100,10,none
Corkscrew Crash,steel,none,none,none,1,none
Corrosive Gas,poison,status,none,100,40,none
Cosmic Power,psychic,status,none,none,20,none
Cotton Guard,grass,status,none,none,10,none
Cotton Spore,grass,status,none,100,40,none
Counter,fighting,physical,none,100,20,none
Court Change,normal,status,none,100,10,none
Covet,normal,physical,60,100,25,none
Crabhammer,water,physical,100,90,10,none
Crafty Shield,fairy,status,none,none,10,none
Cross Chop,fighting,physical,100,80,5,none
Cross Poison,poison,physical,70,100,20,10
Crunch,dark,physical,80,100,15,20
Crush Claw,normal,physical,75,95,10,50
Crush Grip,normal,physical,none,100,5,none
Curse,ghost,status,none,none,10,none
Cut,normal,physical,50,95,30,none
Dark Pulse,dark,special,80,100,15,20
Dark Void,dark,status,none,50,10,none
Darkest Lariat,dark,physical,85,100,10,none
Dazzling Gleam,fairy,special,80,100,10,none
Decorate,fairy,status,none,none,15,100
Defend Order,bug,status,none,none,10,none
Defense Curl,normal,status,none,none,40,none
Defog,flying,status,none,none,15,none
Destiny Bond,ghost,status,none,none,5,none
Detect,fighting,status,none,none,5,none
Devastating Drake,dragon,none,none,none,1,none
Diamond Storm,rock,physical,100,95,5,50
Dig,ground,physical,80,100,10,none
Dire Claw,poison,physical,80,100,15,none
Disable,normal,status,none,100,20,none
Disarming Voice,fairy,special,40,∞,15,none
Discharge,electric,special,80,100,15,30
Dive,water,physical,80,100,10,none
Dizzy Punch,normal,physical,70,100,10,20
Doodle,normal,status,none,100,10,none
Doom Desire,steel,special,140,100,5,none
Double Hit,normal,physical,35,90,10,none
Double Iron Bash,steel,physical,60,100,5,30
Double Kick,fighting,physical,30,100,30,none
Double Shock,electric,physical,120,100,5,none
Double Slap,normal,physical,15,85,10,none
Double Team,normal,status,none,none,15,none
Double-Edge,normal,physical,120,100,15,none
Draco Meteor,dragon,special,130,90,5,100
Dragon Ascent,flying,physical,120,100,5,100
Dragon Breath,dragon,special,60,100,20,30
Dragon Cheer,dragon,status,none,∞,15,none
Dragon Claw,dragon,physical,80,100,15,none
Dragon Dance,dragon,status,none,none,20,none
Dragon Darts,dragon,physical,50,100,10,none
Dragon Energy,dragon,special,150,100,5,none
Dragon Hammer,dragon,physical,90,100,15,none
Dragon Pulse,dragon,special,85,100,10,none
Dragon Rage,dragon,special,none,100,10,none
Dragon Rush,dragon,physical,100,75,10,20
Dragon Tail,dragon,physical,60,90,10,none
Drain Punch,fighting,physical,75,100,10,none
Draining Kiss,fairy,special,50,100,10,none
Dream Eater,psychic,special,100,100,15,none
Drill Peck,flying,physical,80,100,20,none
Drill Run,ground,physical,80,95,10,none
Drum Beating,grass,physical,80,100,10,100
Dual Chop,dragon,physical,40,90,15,none
Dual Wingbeat,flying,physical,40,90,10,none
Dynamax Cannon,dragon,special,100,100,5,none
Dynamic Punch,fighting,physical,100,50,5,100
Earth Power,ground,special,90,100,10,10
Earthquake,ground,physical,100,100,10,none
Echoed Voice,normal,special,40,100,15,none
Eerie Impulse,electric,status,none,100,15,none
Eerie Spell,psychic,special,80,100,5,none
Egg Bomb,normal,physical,100,75,10,none
Electric Terrain,electric,status,none,none,10,none
Electrify,electric,status,none,none,20,none
Electro Ball,electric,special,none,100,10,none
Electro Drift,electric,special,100,100,5,none
Electro Shot,electric,special,130,100,10,none
Electroweb,electric,special,55,95,15,100
Embargo,dark,status,none,100,15,none
Ember,fire,special,40,100,25,10
Encore,normal,status,none,100,5,none
Endeavor,normal,physical,none,100,5,none
Endure,normal,status,none,none,10,none
Energy Ball,grass,special,90,100,10,10
Entrainment,normal,status,none,100,15,none
Eruption,fire,special,150,100,5,none
Esper Wing,psychic,special,80,100,10,none
Eternabeam,dragon,special,160,90,5,none
Expanding Force,psychic,special,80,100,10,none
Explosion,normal,physical,250,100,5,none
Extrasensory,psychic,special,80,100,20,10
Extreme Evoboost,normal,status,none,none,1,100
Extreme Speed,normal,physical,80,100,5,none
Facade,normal,physical,70,100,20,none
Fairy Lock,fairy,status,none,none,10,none
Fairy Wind,fairy,special,40,100,30,none
Fake Out,normal,physical,40,100,10,100
Fake Tears,dark,status,none,100,20,none
False Surrender,dark,physical,80,∞,10,none
False Swipe,normal,physical,40,100,40,none
Feather Dance,flying,status,none,100,15,none
Feint,normal,physical,30,100,10,none
Feint Attack,dark,physical,60,∞,20,none
Fell Stinger,bug,physical,50,100,25,none
Fickle Beam,dragon,special,80,100,5,none
Fiery Dance,fire,special,80,100,10,50
Fiery Wrath,dark,special,90,100,10,20
Fillet Away,normal,status,none,none,10,none
Final Gambit,fighting,special,none,100,5,none
Fire Blast,fire,special,110,85,5,10
Fire Fang,fire,physical,65,95,15,10
Fire Lash,fire,physical,80,100,15,100
Fire Pledge,fire,special,80,100,10,none
Fire Punch,fire,physical,75,100,15,10
Fire Spin,fire,special,35,85,15,100
First Impression,bug,physical,90,100,10,none
Fishious Rend,water,physical,85,100,10,none
Fissure,ground,physical,none,30,5,none
Flail,normal,physical,none,100,15,none
Flame Burst,fire,special,70,100,15,none
Flame Charge,fire,physical,50,100,20,100
Flame Wheel,fire,physical,60,100,25,10
Flamethrower,fire,special,90,100,15,10
Flare Blitz,fire,physical,120,100,15,10
Flash,normal,status,none,100,20,none
Flash Cannon,steel,special,80,100,10,10
Flatter,dark,status,none,100,15,none
Fleur Cannon,fairy,special,130,90,5,100
Fling,dark,physical,none,100,10,none
Flip Turn,water,physical,60,100,20,none
Floaty Fall,flying,physical,90,95,15,30
Floral Healing,fairy,status,none,none,10,none
Flower Shield,fairy,status,none,none,10,100
Flower Trick,grass,physical,70,∞,10,none
Fly,flying,physical,90,95,15,none
Flying Press,fighting,physical,100,95,10,none
Focus Blast,fighting,special,120,70,5,10
Focus Energy,normal,status,none,none,30,none
Focus Punch,fighting,physical,150,100,20,none
Follow Me,normal,status,none,none,20,none
Force Palm,fighting,physical,60,100,10,30
Foresight,normal,status,none,none,40,none
Forest's Curse,grass,status,none,100,20,none
Foul Play,dark,physical,95,100,15,none
Freeze Shock,ice,physical,140,90,5,30
Freeze-Dry,ice,special,70,100,20,10
Freezing Glare,psychic,special,90,100,10,10
Freezy Frost,ice,special,90,100,15,none
Frenzy Plant,grass,special,150,90,5,none
Frost Breath,ice,special,60,90,10,100
Frustration,normal,physical,none,100,20,none
Fury Attack,normal,physical,15,85,20,none
Fury Cutter,bug,physical,40,95,20,none
Fury Swipes,normal,physical,18,80,15,none
Fusion Bolt,electric,physical,100,100,5,none
Fusion Flare,fire,special,100,100,5,none
Future Sight,psychic,special,120,100,10,none
G-Max Befuddle,bug,none,none,∞,5,100
G-Max Cannonade,water,none,none,∞,10,none
G-Max Centiferno,fire,none,none,∞,5,100
G-Max Chi Strike,fighting,none,none,∞,5,none
G-Max Cuddle,normal,none,none,∞,5,100
G-Max Depletion,dragon,none,none,∞,5,none
G-Max Drum Solo,grass,none,160,∞,5,none
G-Max Finale,fairy,none,none,∞,5,none
G-Max Fireball,fire,none,160,∞,5,none
G-Max Foam Burst,water,none,none,∞,5,100
G-Max Gold Rush,normal,none,none,∞,5,100
G-Max Gravitas,psychic,none,none,∞,5,none
G-Max Hydrosnipe,water,none,160,∞,5,none
G-Max Malodor,poison,none,none,∞,5,100
G-Max Meltdown,steel,none,none,∞,5,none
G-Max One Blow,dark,none,none,∞,5,none
G-Max Rapid Flow,water,none,none,∞,5,none
G-Max Replenish,normal,none,none,∞,5,none
G-Max Resonance,ice,none,none,∞,5,none
G-Max Sandblast,ground,none,none,∞,5,100
G-Max Smite,fairy,none,none,∞,5,100
G-Max Snooze,dark,none,none,∞,5,none
G-Max Steelsurge,steel,none,none,∞,5,none
G-Max Stonesurge,water,none,none,∞,5,none
G-Max Stun Shock,electric,none,none,∞,10,100
G-Max Sweetness,grass,none,none,∞,10,none
G-Max Tartness,grass,none,none,∞,10,100
G-Max Terror,ghost,none,none,∞,10,none
G-Max Vine Lash,grass,none,none,∞,10,none
G-Max Volcalith,rock,none,none,∞,10,100
G-Max Volt Crash,electric,none,none,∞,10,100
G-Max Wildfire,fire,none,none,∞,10,100
G-Max Wind Rage,flying,none,none,∞,10,none
Gastro Acid,poison,status,none,100,10,none
Gear Grind,steel,physical,50,85,15,none
Gear Up,steel,status,none,none,20,none
Genesis Supernova,psychic,special,185,none,1,none
Geomancy,fairy,status,none,none,10,none
Giga Drain,grass,special,75,100,10,none
Giga Impact,normal,physical,150,90,5,none
Gigaton Hammer,steel,physical,160,100,5,none
Gigavolt Havoc,electric,none,none,none,1,none
Glacial Lance,ice,physical,120,100,5,none
Glaciate,ice,special,65,95,10,100
Glaive Rush,dragon,physical,120,100,5,none
Glare,normal,status,none,100,30,none
Glitzy Glow,psychic,special,90,100,15,none
Grass Knot,grass,special,none,100,20,none
Grass Pledge,grass,special,80,100,10,none
Grass Whistle,grass,status,none,55,15,none
Grassy Glide,grass,physical,55,100,20,none
Grassy Terrain,grass,status,none,none,10,none
Grav Apple,grass,physical,80,100,10,100
Gravity,psychic,status,none,none,5,none
Growl,normal,status,none,100,40,none
Growth,normal,status,none,none,20,none
Grudge,ghost,status,none,none,5,none
Guard Split,psychic,status,none,none,10,none
Guard Swap,psychic,status,none,none,10,none
Guardian of Alola,fairy,special,none,none,1,none
Guillotine,normal,physical,none,30,5,none
Gunk Shot,poison,physical,120,80,5,30
Gust,flying,special,40,100,35,none
Gyro Ball,steel,physical,none,100,5,none
Hail,ice,status,none,none,10,none
Hammer Arm,fighting,physical,100,90,10,100
Happy Hour,normal,status,none,none,30,none
Hard Press,steel,physical,none,100,10,none
Harden,normal,status,none,none,30,none
Haze,ice,status,none,none,30,none
Head Charge,normal,physical,120,100,15,none
Head Smash,rock,physical,150,80,5,none
Headbutt,normal,physical,70,100,15,30
Headlong Rush,ground,physical,120,100,5,none
Heal Bell,normal,status,none,none,5,none
Heal Block,psychic,status,none,100,15,none
Heal Order,bug,status,none,none,10,none
Heal Pulse,psychic,status,none,none,10,none
Healing Wish,psychic,status,none,none,10,none
Heart Stamp,psychic,physical,60,100,25,30
Heart Swap,psychic,status,none,none,10,none
Heat Crash,fire,physical,none,100,10,none
Heat Wave,fire,special,95,90,10,10
Heavy Slam,steel,physical,none,100,10,none
Helping Hand,normal,status,none,none,20,none
Hex,ghost,special,65,100,10,none
Hidden Power,normal,special,60,100,15,none
High Horsepower,ground,physical,95,95,10,none
High Jump Kick,fighting,physical,130,90,10,none
Hold Back,normal,physical,40,100,40,none
Hold Hands,normal,status,none,none,40,none
Hone Claws,dark,status,none,none,15,none
Horn Attack,normal,physical,65,100,25,none
Horn Drill,normal,physical,none,30,5,none
Horn Leech,grass,physical,75,100,10,none
Howl,normal,status,none,none,40,none
Hurricane,flying,special,110,70,10,30
Hydro Cannon,water,special,150,90,5,none
Hydro Pump,water,special,110,80,5,none
Hydro Steam,water,special,80,100,15,none
Hydro Vortex,water,none,none,none,1,none
Hyper Beam,normal,special,150,90,5,none
Hyper Drill,normal,physical,100,100,5,none
Hyper Fang,normal,physical,80,90,15,10
Hyper Voice,normal,special,90,100,10,none
Hyperspace Fury,dark,physical,100,∞,5,100
Hyperspace Hole,psychic,special,80,∞,5,none
Hypnosis,psychic,status,none,60,20,none
Ice Ball,ice,physical,30,90,20,none
Ice Beam,ice,special,90,100,10,10
Ice Burn,ice,special,140,90,5,30
Ice Fang,ice,physical,65,95,15,10
Ice Hammer,ice,physical,100,90,10,100
Ice Punch,ice,physical,75,100,15,10
Ice Shard,ice,physical,40,100,30,none
Ice Spinner,ice,physical,80,100,15,none
Icicle Crash,ice,physical,85,90,10,30
Icicle Spear,ice,physical,25,100,30,none
Icy Wind,ice,special,55,95,15,100
Imprison,psychic,status,none,none,10,none
Incinerate,fire,special,60,100,15,none
Infernal Parade,ghost,special,60,100,15,none
Inferno,fire,special,100,50,5,100
Inferno Overdrive,fire,none,none,none,1,none
Infestation,bug,special,20,100,20,100
Ingrain,grass,status,none,none,20,none
Instruct,psychic,status,none,none,15,none
Ion Deluge,electric,status,none,none,25,none
Iron Defense,steel,status,none,none,15,none
Iron Head,steel,physical,80,100,15,30
Iron Tail,steel,physical,100,75,15,30
Ivy Cudgel,grass,physical,100,none,none,none
Jaw Lock,dark,physical,80,100,10,none
Jet Punch,water,physical,60,100,15,none
Judgment,normal,special,100,100,10,none
Jump Kick,fighting,physical,100,95,10,none
Jungle Healing,grass,status,none,none,10,none
Karate Chop,fighting,physical,50,100,25,none
Kinesis,psychic,status,none,80,15,none
King's Shield,steel,status,none,none,10,none
Knock Off,dark,physical,65,100,20,none
Kowtow Cleave,dark,physical,85,∞,10,none
Land's Wrath,ground,physical,90,100,10,none
Laser Focus,normal,status,none,none,30,none
Lash Out,dark,physical,75,100,5,none
Last Resort,normal,physical,140,100,5,none
Last Respects,ghost,physical,50,100,10,none
Lava Plume,fire,special,80,100,15,30
Leaf Blade,grass,physical,90,100,15,none
Leaf Storm,grass,special,130,90,5,100
Leaf Tornado,grass,special,65,90,10,50
Leafage,grass,physical,40,100,40,none
Leech Life,bug,physical,80,100,10,none
Leech Seed,grass,status,none,90,10,none
Leer,normal,status,none,100,30,100
Let's Snuggle Forever,fairy,physical,190,none,1,none
Lick,ghost,physical,30,100,30,30
Life Dew,water,status,none,none,10,none
Light of Ruin,fairy,special,140,90,5,none
Light Screen,psychic,status,none,none,30,none
Light That Burns the Sky,psychic,special,200,none,1,none
Liquidation,water,physical,85,100,10,20
Lock-On,normal,status,none,none,5,none
Lovely Kiss,normal,status,none,75,10,none
Low Kick,fighting,physical,none,100,20,none
Low Sweep,fighting,physical,65,100,20,100
Lucky Chant,normal,status,none,none,30,none
Lumina Crash,psychic,special,80,100,10,none
Lunar Blessing,psychic,status,none,none,5,none
Lunar Dance,psychic,status,none,none,10,none
Lunge,bug,physical,80,100,15,100
Luster Purge,psychic,special,95,100,5,50
Mach Punch,fighting,physical,40,100,30,none
Magic Coat,psychic,status,none,none,15,none
Magic Powder,psychic,status,none,100,20,none
Magic Room,psychic,status,none,none,10,none
Magical Leaf,grass,special,60,∞,20,none
Magical Torque,fairy,physical,100,100,10,none
Magma Storm,fire,special,100,75,5,100
Magnet Bomb,steel,physical,60,∞,20,none
Magnet Rise,electric,status,none,none,10,none
Magnetic Flux,electric,status,none,none,20,none
Magnitude,ground,physical,none,100,30,none
Make It Rain,steel,special,120,100,5,none
Malicious Moonsault,dark,physical,180,none,1,none
Malignant Chain,poison,special,100,100,5,none
Mat Block,fighting,status,none,none,10,none
Matcha Gotcha,grass,special,80,90,15,20
Max Airstream,flying,none,none,none,none,100
Max Darkness,dark,none,none,none,none,100
Max Flare,fire,none,none,none,none,none
Max Flutterby,bug,none,none,none,none,100
Max Geyser,water,none,none,none,none,none
Max Guard,normal,none,none,none,none,none
Max Hailstorm,ice,none,none,none,none,none
Max Knuckle,fighting,none,none,none,none,100
Max Lightning,electric,none,none,none,none,none
Max Mindstorm,psychic,none,none,none,none,none
Max Ooze,poison,none,none,none,none,100
Max Overgrowth,grass,none,none,none,none,none
Max Phantasm,ghost,none,none,none,none,100
Max Quake,ground,none,none,none,none,100
Max Rockfall,rock,none,none,none,none,none
Max Starfall,fairy,none,none,none,none,none
Max Steelspike,steel,none,none,none,none,100
Max Strike,normal,none,none,none,none,100
Max Wyrmwind,dragon,none,none,none,none,100
Me First,normal,status,none,none,20,none
Mean Look,normal,status,none,none,5,none
Meditate,psychic,status,none,none,40,none
Mega Drain,grass,special,40,100,15,none
Mega Kick,normal,physical,120,75,5,none
Mega Punch,normal,physical,80,85,20,none
Megahorn,bug,physical,120,85,10,none
Memento,dark,status,none,100,10,none
Menacing Moonraze Maelstrom,ghost,special,200,none,1,none
Metal Burst,steel,physical,none,100,10,none
Metal Claw,steel,physical,50,95,35,10
Metal Sound,steel,status,none,85,40,none
Meteor Assault,fighting,physical,150,100,5,none
Meteor Beam,rock,special,120,90,10,none
Meteor Mash,steel,physical,90,90,10,20
Metronome,normal,status,none,none,10,none
Mighty Cleave,rock,physical,95,100,5,none
Milk Drink,normal,status,none,none,5,none
Mimic,normal,status,none,none,10,none
Mind Blown,fire,special,150,100,5,none
Mind Reader,normal,status,none,none,5,none
Minimize,normal,status,none,none,10,none
Miracle Eye,psychic,status,none,none,40,none
Mirror Coat,psychic,special,none,100,20,none
Mirror Move,flying,status,none,none,20,none
Mirror Shot,steel,special,65,85,10,30
Mist,ice,status,none,none,30,none
Mist Ball,psychic,special,95,100,5,50
Misty Explosion,fairy,special,100,100,5,none
Misty Terrain,fairy,status,none,none,10,none
Moonblast,fairy,special,95,100,15,30
Moongeist Beam,ghost,special,100,100,5,none
Moonlight,fairy,status,none,none,5,none
Morning Sun,normal,status,none,none,5,none
Mortal Spin,poison,physical,30,100,15,none
Mountain Gale,ice,physical,100,85,10,none
Mud Bomb,ground,special,65,85,10,30
Mud Shot,ground,special,55,95,15,100
Mud Sport,ground,status,none,none,15,none
Mud-Slap,ground,special,20,100,10,100
Muddy Water,water,special,90,85,10,30
Multi-Attack,normal,physical,120,100,10,none
Mystical Fire,fire,special,75,100,10,100
Mystical Power,psychic,special,70,90,10,none
Nasty Plot,dark,status,none,none,20,none
Natural Gift,normal,physical,none,100,15,none
Nature Power,normal,status,none,none,20,none
Nature's Madness,fairy,special,none,90,10,none
Needle Arm,grass,physical,60,100,15,30
Never-Ending Nightmare,ghost,none,none,none,1,none
Night Daze,dark,special,85,95,10,40
Night Shade,ghost,special,none,100,15,none
Night Slash,dark,physical,70,100,15,none
Nightmare,ghost,status,none,100,15,none
No Retreat,fighting,status,none,none,5,100
Noble Roar,normal,status,none,100,30,100
Noxious Torque,poison,physical,100,100,10,none
Nuzzle,electric,physical,20,100,20,100
Oblivion Wing,flying,special,80,100,10,none
Obstruct,dark,status,none,100,10,none
Oceanic Operetta,water,special,195,none,1,none
Octazooka,water,special,65,85,10,50
Octolock,fighting,status,none,100,15,none
Odor Sleuth,normal,status,none,none,40,none
Ominous Wind,ghost,special,60,100,5,10
Order Up,dragon,physical,80,100,10,none
Origin Pulse,water,special,110,85,10,none
Outrage,dragon,physical,120,100,10,none
Overdrive,electric,special,80,100,10,none
Overheat,fire,special,130,90,5,100
Pain Split,normal,status,none,none,20,none
Parabolic Charge,electric,special,65,100,20,none
Parting Shot,dark,status,none,100,20,100
Pay Day,normal,physical,40,100,20,none
Payback,dark,physical,50,100,10,none
Peck,flying,physical,35,100,35,none
Perish Song,normal,status,none,none,5,none
Petal Blizzard,grass,physical,90,100,15,none
Petal Dance,grass,special,120,100,10,none
Phantom Force,ghost,physical,90,100,10,none
Photon Geyser,psychic,special,100,100,5,none
Pika Papow,electric,special,none,∞,20,none
Pin Missile,bug,physical,25,95,20,none
Plasma Fists,electric,physical,100,100,15,none
Play Nice,normal,status,none,none,20,100
Play Rough,fairy,physical,90,90,10,10
Pluck,flying,physical,60,100,20,none
Poison Fang,poison,physical,50,100,15,50
Poison Gas,poison,status,none,90,40,none
Poison Jab,poison,physical,80,100,20,30
Poison Powder,poison,status,none,75,35,none
Poison Sting,poison,physical,15,100,35,30
Poison Tail,poison,physical,50,100,25,10
Pollen Puff,bug,special,90,100,15,none
Poltergeist,ghost,physical,110,90,5,none
Population Bomb,normal,physical,20,90,10,none
Pounce,bug,physical,50,100,20,100
Pound,normal,physical,40,100,35,none
Powder,bug,status,none,100,20,none
Powder Snow,ice,special,40,100,25,10
Power Gem,rock,special,80,100,20,none
Power Shift,normal,status,none,none,10,none
Power Split,psychic,status,none,none,10,none
Power Swap,psychic,status,none,none,10,none
Power Trick,psychic,status,none,none,10,none
Power Trip,dark,physical,20,100,10,none
Power Whip,grass,physical,120,85,10,none
Power-Up Punch,fighting,physical,40,100,20,100
Precipice Blades,ground,physical,120,85,10,none
Present,normal,physical,none,90,15,none
Prismatic Laser,psychic,special,160,100,10,none
Protect,normal,status,none,none,10,none
Psybeam,psychic,special,65,100,20,10
Psyblade,psychic,physical,80,100,15,none
Psych Up,normal,status,none,none,10,none
Psychic,psychic,special,90,100,10,10
Psychic Fangs,psychic,physical,85,100,10,none
Psychic Noise,psychic,special,75,100,10,none
Psychic Terrain,psychic,status,none,none,10,none
Psycho Boost,psychic,special,140,90,5,100
Psycho Cut,psychic,physical,70,100,20,none
Psycho Shift,psychic,status,none,100,10,none
Psyshield Bash,psychic,physical,70,90,10,none
Psyshock,psychic,special,80,100,10,none
Psystrike,psychic,special,100,100,10,none
Psywave,psychic,special,none,100,15,none
Pulverizing Pancake,normal,physical,210,none,1,none
Punishment,dark,physical,none,100,5,none
Purify,poison,status,none,none,20,none
Pursuit,dark,physical,40,100,20,none
Pyro Ball,fire,physical,120,90,5,10
Quash,dark,status,none,100,15,none
Quick Attack,normal,physical,40,100,30,none
Quick Guard,fighting,status,none,none,15,none
Quiver Dance,bug,status,none,none,20,none
Rage,normal,physical,20,100,20,none
Rage Fist,ghost,physical,50,100,10,none
Rage Powder,bug,status,none,none,20,none
Raging Bull,normal,physical,90,100,10,none
Raging Fury,fire,physical,120,100,10,none
Rain Dance,water,status,none,none,5,none
Rapid Spin,normal,physical,50,100,40,100
Razor Leaf,grass,physical,55,95,25,none
Razor Shell,water,physical,75,95,10,50
Razor Wind,normal,special,80,100,10,none
Recover,normal,status,none,none,5,none
Recycle,normal,status,none,none,10,none
Reflect,psychic,status,none,none,20,none
Reflect Type,normal,status,none,none,15,none
Refresh,normal,status,none,none,20,none
Relic Song,normal,special,75,100,10,10
Rest,psychic,status,none,none,5,none
Retaliate,normal,physical,70,100,5,none
Return,normal,physical,none,100,20,none
Revelation Dance,normal,special,90,100,15,none
Revenge,fighting,physical,60,100,10,none
Reversal,fighting,physical,none,100,15,none
Revival Blessing,normal,status,none,none,1,none
Rising Voltage,electric,special,70,100,20,none
Roar,normal,status,none,none,20,none
Roar of Time,dragon,special,150,90,5,none
Rock Blast,rock,physical,25,90,10,none
Rock Climb,normal,physical,90,85,20,20
Rock Polish,rock,status,none,none,20,none
Rock Slide,rock,physical,75,90,10,30
Rock Smash,fighting,physical,40,100,15,50
Rock Throw,rock,physical,50,90,15,none
Rock Tomb,rock,physical,60,95,15,100
